#pid	conf	gene_ids	eids	pathfinders	sif_edges
p198	0.786000	YFR028C|YGL158W|YNL124W|CDC14RD36	edge71|edge9073|edge17898	paths	YFR028C d YGL158W|YGL158W d YNL124W|YNL124W d CDC14RD36
p199	0.750000	YFR028C|YDL160C|YDL220C|CDC14RD30	edge25222|edge10992|edge9275	paths	YFR028C u YDL160C|YDL160C u YDL220C|YDL220C d CDC14RD30
p200	0.750000	YFR028C|YDL160C|YDL220C|CDC14RD31	edge25222|edge10992|edge6703	paths	YFR028C u YDL160C|YDL160C u YDL220C|YDL220C d CDC14RD31
p201	0.903000	YFR028C|HOG1ID46|YGR097W|YHR099W|CDC14ID26	edge21680|edge5711|edge25390|edge18683	paths	YFR028C d HOG1ID46|HOG1ID46 d YGR097W|YGR097W u YHR099W|YHR099W d CDC14ID26
p202	0.920000	YLR113W|NPI1|YLR410W|YCL029C|HOG1ID42	edge15950|edge16222|edge16136|edge19675	paths	YLR113W d NPI1|NPI1 d YLR410W|YLR410W u YCL029C|YCL029C d HOG1ID42
p203	0.909000	YLR113W|NPI1|YMR153W|YDR192C|HOG1ID46	edge15950|edge8398|edge23807|edge3994	paths	YLR113W d NPI1|NPI1 d YMR153W|YMR153W u YDR192C|YDR192C d HOG1ID46
p204	0.913000	YLR113W|NPI1|YJR059W|YFR052W|HOG1ID42	edge15950|edge784|edge13339|edge13593	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YFR052W|YFR052W d HOG1ID42
p205	0.903000	YFR028C|HOG1ID46|YGR097W|YHR099W|CDC14ID25	edge21680|edge5711|edge25390|edge23193	paths	YFR028C d HOG1ID46|HOG1ID46 d YGR097W|YGR097W u YHR099W|YHR099W d CDC14ID25
p206	1.000000	YFR028C|CDC14ID21	edge1387	paths	YFR028C d CDC14ID21
p207	0.904000	YLR113W|NPI1|YGR097W|YER153C|HOG1ID46	edge15950|edge5971|edge13584|edge5508	paths	YLR113W d NPI1|NPI1 d YGR097W|YGR097W u YER153C|YER153C d HOG1ID46
p208	0.920000	YLR113W|YHR104W|YPL209C|HOG1ID44	edge24896|edge23931|edge19468	paths	YLR113W u YHR104W|YHR104W u YPL209C|YPL209C d HOG1ID44
p209	0.860000	YFR028C|YLR357W|YAL041W|CDC14ID22	edge13975|edge21931|edge15937	paths	YFR028C u YLR357W|YLR357W u YAL041W|YAL041W d CDC14ID22
p210	0.917000	YLR113W|NPI1|YJR059W|YKR039W|HOG1RD56	edge15950|edge784|edge14832|edge6383	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YKR039W|YKR039W d HOG1RD56
p211	0.914000	YLR113W|YKL068W|YBL007C|HOG1RD57	edge25188|edge10824|edge515	paths	YLR113W d YKL068W|YKL068W u YBL007C|YBL007C d HOG1RD57
p212	0.901000	YFR028C|YLR229C|NPI3|YHL009C|CDC14RD31	edge14162|edge21298|edge24973|edge849	paths	YFR028C u YLR229C|YLR229C d NPI3|NPI3 d YHL009C|YHL009C d CDC14RD31
p213	0.898000	YFR028C|YLR229C|NPI3|YOL100W|CDC14RD31	edge14162|edge21298|edge11765|edge5913	paths	YFR028C u YLR229C|YLR229C d NPI3|NPI3 d YOL100W|YOL100W d CDC14RD31
p214	0.898000	YFR028C|YLR229C|NPI3|YOL100W|CDC14RD36	edge14162|edge21298|edge11765|edge14676	paths	YFR028C u YLR229C|YLR229C d NPI3|NPI3 d YOL100W|YOL100W d CDC14RD36
p215	0.904000	YFR028C|YGL048C|YHR099W|CDC14ID25	edge23852|edge2878|edge23193	paths	YFR028C d YGL048C|YGL048C u YHR099W|YHR099W d CDC14ID25
p216	0.904000	YFR028C|YGL048C|YHR099W|CDC14ID26	edge23852|edge2878|edge18683	paths	YFR028C d YGL048C|YGL048C u YHR099W|YHR099W d CDC14ID26
p217	0.913000	YLR113W|NPI1|YJR059W|YPL256C|HOG1ID42	edge15950|edge784|edge3015|edge10674	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YPL256C|YPL256C d HOG1ID42
p218	0.896000	YLR113W|YER165W|YMR290C|HOG1ID42	edge8769|edge12820|edge16938	paths	YLR113W u YER165W|YER165W u YMR290C|YMR290C d HOG1ID42
p219	0.909000	YFR028C|YER125W|HOG1RD57|YLR096W|CDC14RD30	edge20670|edge2405|edge19296|edge12172	paths	YFR028C u YER125W|YER125W d HOG1RD57|HOG1RD57 d YLR096W|YLR096W d CDC14RD30
