Protein1,Protein2,Interaction,Directed
YBL003C,YML065W,ppi,0
YBL004W,YJR002W,ppi,0
YDR381W,YNL209W,ppi,0
YDL147W,YIL007C,ppi,0
YPL031C,YGR028W,kinase_substrate,1
YMR224C,YNL250W,ppi,0
YDR381W,YJR045C,ppi,0
YGR241C,YNL020C,ppi,0
YER125W,YOL005C,ppi,0
YPL203W,YMR081C,kinase_substrate,1
YIL115C,YOR098C,ppi,0
YER125W,YGL206C,ppi,0
YDL225W,YDR510W,sumoylation,1
YEL037C,YFR004W,ppi,0
YGR186W,YPL129W,ppi,0
YKL002W,YOL100W,ppi,0
YGL223C,YKL006CA,ppi,0
YGR074W,YLR116W,ppi,0
YCR012W,YNL147W,ppi,0
YKL101W,YDL074C,kinase_substrate,1
YFL009W,YJL157C,ppi,0
YIL125W,YPL167C,ppi,0
YDL013W,YPL082C,ppi,0
YJL053W,YOR132W,ppi,0
YJR059W,YLR270W,kinase_substrate,1
YAL017W,YKL168C,kinase_substrate,1
YDL070W,YLR399C,ppi,0
YER102W,YPL037C,ppi,0
YDR127W,YDR035W,metabolic_pathway,0
YIR010W,YMR094W,ppi,0
YER105C,YGL100W,ppi,0
YGL240W,YIR025W,ppi,0
YDR507C,YLR208W,ppi,0
YDR170C,YNL267W,ppi,0
YNL154C,YAL028W,kinase_substrate,1
YJL164C,YBR028C,kinase_substrate,1
YER133W,YFR001W,ppi,0
YER132C,YGR052W,ppi,0
YHL007C,YHR131C,kinase_substrate,1
YJR045C,YNL310C,ppi,0
YBR083W,YDR510W,ppi,0
YDL029W,YLL013C,ppi,0
YDL047W,YDL140C,ppi,0
YKL117W,YOL033W,ppi,0
YFR027W,YOL094C,ppi,0
YGL059W,YPL006W,kinase_substrate,1
YDR233C,YLR166C,ppi,0
YMR216C,YFL001W,kinase_substrate,1
YGL240W,YDR451C,ubiquitination,1
YJR022W,YLR438CA,ppi,0
YDR330W,YER012W,ppi,0
YOR039W,YPR104C,ppi,0
YDL160C,YLR136C,ppi,0
YBL002W,YGL207W,ppi,0
YHR082C,YML054C,kinase_substrate,1
YBL018C,YNL282W,ppi,0
YCR028CA,YJR144W,ppi,0
YBR059C,YMR304W,kinase_substrate,1
YNL201C,YOL016C,ppi,0
YJR041C,YNR038W,ppi,0
YGL180W,YML007W,kinase_substrate,1
YDL025C,YGR240C,ppi,0
YCL024W,YJR112W,ppi,0
YCR105W,YOR377W,metabolic_pathway,0
YNL214W,YOL044W,ppi,0
YER074W,YHR154W,ppi,0
YDR418W,YLR340W,ppi,0
YGL190C,YMR036C,phosphatase_substrate,1
YMR044W,YNL031C,ppi,0
YBR160W,YLL002W,kinase_substrate,1
YBR175W,YKL018W,ppi,0
YFR001W,YPR143W,ppi,0
YNL093W,YOR132W,ppi,0
YAL032C,YGR270W,ppi,0
YBL052C,YOR064C,ppi,0
YDL160C,YOL149W,ppi,0
YDL140C,YML088W,ppi,0
YBR112C,YGL194C,ppi,0
YHR135C,YDL099W,kinase_substrate,1
YGR209C,YLR109W,ppi,0
YGL200C,YOR016C,ppi,0
YFR028C,YIL106W,phosphorylation_and_dephosphorylation,0
YPL031C,YOL016C,kinase_substrate,1
YDR167W,YPL254W,ppi,0
YDR364C,YLL036C,ppi,0
YGR112W,YIL157C,ppi,0
YKR081C,YLR009W,ppi,0
YHR135C,YOR162C,kinase_substrate,1
YNL030W,YOL135C,ppi,0
YDL140C,YNR052C,ppi,0
YJL005W,YNL098C,ppi,0
YHR105W,YLR078C,ppi,0
YLR117C,YNL286W,ppi,0
YJR072C,YPR010C,ppi,0
YDR446W,YGL212W,ppi,0
YIL095W,YML088W,kinase_substrate,1
YGL128C,YLR424W,ppi,0
YJL164C,YBL055C,kinase_substrate,1
YOR204W,YPR119W,ppi,0
YBR009C,YOL012C,ppi,0
YAR018C,YIL070C,ppi,0
YDR038C,YNL217W,ppi,0
YHR052W,YKL009W,ppi,0
YIL061C,YKL173W,ppi,0
YKL166C,YJR001W,kinase_substrate,1
YHR162W,YPR191W,ppi,0
YIL153W,YOR233W,ppi,0
YHR135C,YCL029C,kinase_substrate,1
YPR093C,YDL140C,ubiquitination,1
YKL068W,YNL189W,ppi,0
YKL057C,YKR082W,ppi,0
YDL140C,YOL018C,ppi,0
YKL081W,YLR113W,ppi,0
YGR103W,YML065W,ppi,0
YJL069C,YJR002W,ppi,0
YDL132W,YLR097C,ppi,0
YBR059C,YKR092C,kinase_substrate,1
YDL028C,YIL072W,ppi,0
YGL180W,YNR019W,kinase_substrate,1
YML058W,YMR100W,ppi,0
YDL115C,YOR116C,ppi,0
YDR333C,YOR063W,ppi,0
YDR251W,YJL095W,ppi,0
YPL153C,YJL084C,kinase_substrate,1
YEL026W,YLR197W,ppi,0
YER088C,YIL084C,ppi,0
YLL026W,YOR007C,ppi,0
YDR224C,YMR308C,ppi,0
YGL019W,YGR082W,kinase_substrate,1
TLCAAC,YBR123C,ppi,0
YMR236W,YOL051W,ppi,0
YNL152W,YPR119W,ppi,0
YHR082C,YOL104C,kinase_substrate,1
YGL153W,YNL329C,ppi,0
YEL037C,YJR052W,ppi,0
YBR009C,YOR064C,ppi,0
YDR139C,YPR066W,ppi,0
YHR108W,YNL267W,ppi,0
YBR017C,YDR224C,ppi,0
YGR274C,YMR227C,ppi,0
YGR033C,YKL195W,ppi,0
YBL084C,YGL116W,ppi,0
YDR075W,YJL092W,ppi,0
YGL003C,YDR113C,ubiquitination,1
YJL187C,YDR229W,kinase_substrate,1
YBR252W,YDL079C,ppi,0
YMR121C,YNL255C,ppi,0
YJL106W,YPR067W,kinase_substrate,1
YNR024W,YOL142W,ppi,0
YOR039W,YGR082W,kinase_substrate,1
YHR015W,YMR001C,ppi,0
YDR016C,YGL061C,ppi,0
YDR448W,YMR236W,ppi,0
YBR034C,YNL030W,methylation,1
YHL007C,YMR153W,kinase_substrate,1
YFR028C,YHR061C,ppi,0
YAL032C,YBR114W,ppi,0
YHR085W,YLL004W,ppi,0
YGL190C,YJL014W,ppi,0
YLL039C,YPL169C,ppi,0
YEL018W,YPR023C,ppi,0
YDR145W,YPL047W,ppi,0
YDR170C,YNL183C,ppi,0
YGL054C,YPL218W,ppi,0
TLCAAG2,YBR123C,ppi,0
YDR265W,YKL197C,ppi,0
YDL017W,YMR001C,ppi,0
YBR088C,YOR217W,ppi,0
YDR510W,YLR394W,ppi,0
YGR104C,YPR080W,ppi,0
YBL030C,YLL006W,ppi,0
YCR091W,YMR205C,ppi,0
YER087CB,YGL022W,ppi,0
YGR179C,YOR026W,ppi,0
YDR113C,YLL039C,ppi,0
YDR440W,YNL031C,methylation,1
YNR033W,YOR351C,ppi,0
YDL145C,YFL048C,ppi,0
YBR010W,YIL126W,ppi,0
YDR404C,YHR143WA,ppi,0
YLR009W,YLR387C,ppi,0
YBR279W,YGL207W,ppi,0
YPL031C,YFR024CA,kinase_substrate,1
YGR017W,YKL101W,ppi,0
YFR031CA,YLR340W,ppi,0
YDR251W,YDR466W,ppi,0
YLR018C,YPR028W,ppi,0
YJL165C,YPR058W,kinase_substrate,1
YEL012W,YLR377C,ppi,0
YCR077C,YDL184C,ppi,0
YMR138W,YOL056W,ppi,0
YDR054C,YPL256C,ubiquitination,1
YLR166C,YOL039W,ppi,0
YDL155W,YKL068W,ppi,0
YNL130C,YDR302W,metabolic_pathway,0
YJL164C,YPR019W,kinase_substrate,1
YDR080W,YEL022W,ppi,0
YBR109C,YFL004W,ppi,0
YBL045C,YDR462W,ppi,0
YBL016W,YNL186W,kinase_substrate,1
YNL061W,YOR267C,ppi,0
YJL106W,YDR292C,kinase_substrate,1
YGR222W,YLR067C,ppi,0
YBL047C,YBL105C,ppi,0
YMR160W,YMR304W,ppi,0
YGL135W,YGR103W,ppi,0
YBR198C,YGL048C,ppi,0
YMR312W,YPL086C,ppi,0
YDL042C,YER129W,ppi,0
YBR234C,YDL029W,ppi,0
YAL010C,YLL006W,ppi,0
YDR283C,YPL204W,ppi,0
YHR135C,YLR429W,kinase_substrate,1
YHR012W,YJL154C,ppi,0
YOR004W,SNR30,ppi,0
YGR262C,YKR048C,ppi,0
YGR040W,YDL159W,kinase_substrate,1
YDR466W,YGR078C,ppi,0
YGL181W,YOR094W,ppi,0
YPL203W,YOR028C,kinase_substrate,1
YGR245C,YKL009W,ppi,0
YCR091W,YML037C,kinase_substrate,1
YCL024W,YKL181W,ppi,0
YGL233W,YJL085W,ppi,0
YBL003C,YNL030W,ppi,0
YDL213C,SNR128,ppi,0
YDL060W,YMR315W,ppi,0
YEL034W,YNL302C,ppi,0
YGR092W,YPR091C,kinase_substrate,1
YGL180W,YDR239C,kinase_substrate,1
YKL021C,YLR449W,ppi,0
YBR089CA,YOR187W,ppi,0
YDR381W,YGL122C,ppi,0
YGL059W,YFL050C,kinase_substrate,1
YHR135C,YPR143W,kinase_substrate,1
YBR017C,YGR119C,ppi,0
YDR450W,SNR84,ppi,0
YGL048C,YOR257W,ppi,0
YKR082W,YPR080W,ppi,0
YLR018C,YML031W,ppi,0
YBR109C,YLL051C,ppi,0
YKL117W,YLR410W,ppi,0
YOR244W,YLR330W,acetylation,1
YHL015W,YHR154W,ppi,0
YLR265C,YMR106C,ppi,0
YDR057W,YMR297W,ppi,0
YDR162C,YOL113W,ppi,0
YJL095W,YPL217C,kinase_substrate,1
YMR312W,YNL031C,ppi,0
YOR244W,YLR258W,acetylation,1
YDL156W,YDR212W,ppi,0
YHR135C,YBR055C,kinase_substrate,1
YDR507C,YFR027W,ppi,0
YGL120C,YGR090W,ppi,0
YGL048C,YHR200W,ppi,0
YDR142C,YGL153W,ppi,0
YOR128C,YAR015W,metabolic_pathway,1
YHR041C,YLR071C,ppi,0
YDR477W,YOL066C,ppi,0
YDR477W,YLR265C,kinase_substrate,1
YAL041W,YHL007C,ppi,0
YAL030W,YJL036W,ppi,0
YGR128C,YJL069C,ppi,0
YBR173C,YML092C,ppi,0
YHR205W,YOR094W,ppi,0
YHR200W,YOR303W,ppi,0
YHR200W,YNL103W,ppi,0
YDR130C,YDR318W,ppi,0
YFL038C,YGR120C,ppi,0
YJL164C,YGL067W,kinase_substrate,1
YMR235C,YPL209C,ppi,0
YJL187C,YBR231C,kinase_substrate,1
YGR180C,YJL057C,ppi,0
YJR145C,YNL207W,ppi,0
YGL086W,YKR095W,ppi,0
YHR090C,YHR099W,ppi,0
YGL197W,YLR377C,ppi,0
YHR162W,YIL155C,ppi,0
YPL093W,YPR016C,ppi,0
YNR067C,YJR160C,metabolic_pathway,1
YNL307C,YDR379W,kinase_substrate,1
YLL026W,YOL111C,ppi,0
YAR002W,YNL189W,ppi,0
YHR079C,YPL150W,kinase_substrate,1
YDR178W,YLL041C,ppi,0
YGL212W,YKL196C,ppi,0
YKL009W,YNR053C,ppi,0
YAL012W,CYC154,metabolic_pathway,1
YKL172W,YNL124W,ppi,0
YDR477W,YIL044C,kinase_substrate,1
YNL298W,YKL099C,kinase_substrate,1
YHR197W,YNL002C,ppi,0
YOR244W,YMR028W,acetylation,1
YLR287C,YNR031C,ppi,0
YDR122W,YJL187C,ppi,0
YDR130C,YIL002WA,ppi,0
YHR082C,YDL035C,kinase_substrate,1
YHR200W,YJR009C,ppi,0
YPL031C,YJL084C,kinase_substrate,1
YHR135C,YFL034W,kinase_substrate,1
YDL147W,YOR259C,ppi,0
YFR027W,YIL026C,acetylation,1
YBR176W,YOR119C,ppi,0
YGR078C,YOR351C,ppi,0
YIL035C,YER122C,kinase_substrate,1
YDR432W,YNL030W,ppi,0
YER021W,YFR004W,ppi,0
YLR092W,YJR010W,metabolic_pathway,1
YJR059W,YLR259C,kinase_substrate,1
YHL024W,YPR106W,ppi,0
YLR160C,YFL055W,metabolic_pathway,1
YGR210C,YPR106W,ppi,0
YDR388W,YLR337C,ppi,0
YER015W,CX67,metabolic_pathway,0
YGL194C,YKR029C,ppi,0
YKL009W,YLR075W,ppi,0
YHR072WA,SNR30,ppi,0
YER118C,YOR208W,ppi,0
YJL165C,YPR013C,kinase_substrate,1
YGL059W,YJL070C,kinase_substrate,1
YNL154C,YLR393W,kinase_substrate,1
YER177W,YJL141C,ppi,0
YER044C,YHR007C,ppi,0
YGR077C,YLR191W,ppi,0
YIR037W,YKL028W,ppi,0
YBR084CA,YNL255C,ppi,0
YIL021W,YOR151C,ppi,0
YKL171W,YML096W,kinase_substrate,1
YJR140C,YOR038C,ppi,0
YDR075W,YMR028W,ppi,0
YLR377C,YOR070C,ppi,0
YBR023C,YOL003C,ppi,0
YEL034W,YMR012W,ppi,0
YFR014C,YNL218W,kinase_substrate,1
YNR032CA,YOR308C,ppi,0
YDR244W,YGL205W,ppi,0
YKL166C,YPL232W,kinase_substrate,1
YKL114C,YLR248W,ppi,0
YBR160W,YDR507C,kinase_substrate,1
YCR091W,YGR223C,ppi,0
YIL125W,YKL198C,ppi,0
YBR202W,YMR048W,ppi,0
YGL012W,YML008C,ppi,0
YDL214C,YDL039C,kinase_substrate,1
YBL023C,YLR002C,ppi,0
YER022W,YGR104C,ppi,0
YBR245C,YER164W,ppi,0
YDR227W,YNL186W,ppi,0
YER127W,YOL010W,ppi,0
YGL179C,YLR055C,kinase_substrate,1
YDR380W,YPL061W,metabolic_pathway,1
YCL057CA,YGR235C,ppi,0
YMR290C,YOR267C,ppi,0
YDR365C,YNL178W,ppi,0
YOL113W,YDL131W,kinase_substrate,1
YDR091C,YIL133C,ppi,0
YLR167W,YMR276W,ppi,0
YBR281C,YFR044C,ppi,0
YFL033C,YOR380W,kinase_substrate,1
YGR172C,YKR014C,ppi,0
YDR122W,YIL107C,kinase_substrate,1
YIL118W,YNL271C,ppi,0
YER143W,YML088W,ppi,0
YER033C,YFL023W,ppi,0
YDL028C,YHR209W,kinase_substrate,1
YGL123W,YLL036C,ppi,0
YDL147W,YML092C,ppi,0
YPL026C,YBL066C,kinase_substrate,1
YLL013C,YLR423C,ppi,0
YMR047C,YOR051C,ppi,0
YHR104W,YHL032C,metabolic_pathway,0
YBR135W,YPR119W,ppi,0
YDR510W,YKL172W,ppi,0
YCL061C,YEL032W,ppi,0
YDR023W,YGR239C,ppi,0
YDR335W,YJL157C,ppi,0
YPL031C,YIL112W,kinase_substrate,1
YEL061C,YLL039C,ppi,0
YDL042C,YHR119W,ppi,0
YDL064W,YNL152W,ppi,0
YBR160W,YDL155W,ppi,0
YCR079W,YGR193C,ppi,0
YJR059W,YKL008C,kinase_substrate,1
YDR432W,YJL050W,ppi,0
YGR172C,YNL093W,ppi,0
YNL107W,YNL136W,ppi,0
YPL269W,YPR120C,ppi,0
YHR058C,YOR174W,ppi,0
YIL076W,YLR268W,ppi,0
YPL128C,YPL153C,ppi,0
YPL026C,YAL023C,kinase_substrate,1
YGL207W,YPL082C,ppi,0
RDN371,YNL075W,ppi,0
YCL059C,YJR002W,ppi,0
YOR159C,YPL213W,ppi,0
YGR162W,YPR129W,ppi,0
YMR001C,YGR092W,kinase_substrate,1
YPL031C,YER077C,kinase_substrate,1
YBR088C,YIL139C,ppi,0
YJR112W,YPL018W,ppi,0
YER125W,YFR051C,ppi,0
YDL060W,YKL143W,ppi,0
YNL020C,YNL154C,ppi,0
YGL054C,YIL140W,ppi,0
YGL103W,YNL124W,ppi,0
YBR135W,YDR334W,ppi,0
YOL100W,YNR006W,kinase_substrate,1
YPL031C,YBR155W,kinase_substrate,1
YJR148W,YDR380W,metabolic_pathway,1
YJR042W,YKL068W,ppi,0
YGL011C,YML092C,ppi,0
YCR086W,YDR325W,ppi,0
YEL013W,YER123W,ppi,0
YDR106W,YPL174C,ppi,0
YBL026W,YOR159C,ppi,0
YJL187C,YNL145W,kinase_substrate,1
YBL030C,YLR348C,ppi,0
YOR119C,YOR198C,ppi,0
YDL160C,YNL157W,ppi,0
YER006W,YPL131W,ppi,0
YNR024W,YOR001W,ppi,0
YOL068C,YHR074W,metabolic_pathway,0
YDR489W,YNL262W,ppi,0
YGR033C,YNL131W,ppi,0
YBR234C,YJR065C,ppi,0
YGR092W,YNL288W,ppi,0
YNR067C,YFL011W,metabolic_pathway,1
YER164W,YGL252C,ppi,0
YGR162W,YHL034C,ppi,0
YDR041W,YKL155C,ppi,0
YGL111W,YNL002C,ppi,0
YHL007C,YPL217C,kinase_substrate,1
YHR154W,YLR383W,ppi,0
YGR074W,YLR117C,ppi,0
YHR066W,YPL211W,ppi,0
YDR145W,YNL216W,ppi,0
YIL150C,YKL045W,ppi,0
YEL053C,YPR051W,ppi,0
YDL116W,YKL186C,ppi,0
YGL173C,YPR106W,ppi,0
YGL120C,YKL009W,ppi,0
YER151C,YJL141C,ppi,0
YOR034C,YOR171C,ppi,0
YBR170C,YIL030C,ppi,0
YGL133W,YNL030W,ppi,0
YFR004W,YLL039C,ppi,0
YOR190W,YJR160C,metabolic_pathway,1
YDR333C,YNL301C,ppi,0
YKR080W,YPL204W,ppi,0
YKL101W,YIL078W,kinase_substrate,1
YML055W,YPL094C,ppi,0
YDR439W,YFR028C,ppi,0
YDR483W,YLR026C,ppi,0
YOL117W,YOR361C,ppi,0
YGL198W,YGR172C,ppi,0
YJL140W,YOR224C,ppi,0
YHR135C,YDR153C,kinase_substrate,1
YDR238C,YER125W,ppi,0
YLR357W,YPR034W,ppi,0
YER106W,YPL204W,ppi,0
YJL020C,YMR109W,ppi,0
YGL222C,YOL149W,ppi,0
YDL155W,YLR079W,ppi,0
YJL106W,YGL245W,kinase_substrate,1
YBR105C,YGL227W,ppi,0
YDR458C,YJR042W,ppi,0
YAL005C,YIL115C,ppi,0
YJR072C,YKL014C,ppi,0
Q0105,YLR203C,ppi,0
YER146W,YHR165C,ppi,0
YDL100C,YOR164C,ppi,0
YDL229W,YDR172W,ppi,0
YIL099W,CX7,metabolic_pathway,0
YBR126C,YMR261C,ppi,0
YDL195W,YGR058W,ppi,0
YBR253W,YPR056W,ppi,0
YOL021C,YOR076C,ppi,0
YKL145W,YPR036W,ppi,0
YJL176C,YPR034W,ppi,0
YOR244W,YLL026W,acetylation,1
YGL078C,YKL014C,ppi,0
YER032W,YNL161W,ppi,0
YNL207W,YPL042C,ppi,0
YFR028C,YJL076W,ppi,0
YHR135C,YLR030W,kinase_substrate,1
YER109C,YHR084W,ppi,0
YIL157C,YJL062WA,ppi,0
YPL150W,YNL077W,kinase_substrate,1
YJL061W,YPL204W,ppi,0
YKL180W,YKR081C,ppi,0
YPL026C,YPL171C,ppi,0
YDR301W,YLR277C,ppi,0
YIR026C,YLL045C,ppi,0
YBR272C,YGL004C,ppi,0
YBR160W,YHR118C,kinase_substrate,1
YDR172W,YHR077C,ppi,0
YGR013W,YLR147C,ppi,0
YIL041W,YOL018C,ppi,0
YBR200W,YFL039C,ppi,0
YLR291C,YPR041W,ppi,0
YMR272C,CX47,metabolic_pathway,0
YAR003W,YNL317W,ppi,0
YHL004W,YMR188C,ppi,0
YDR238C,YIL106W,ppi,0
YHR010W,YKL009W,ppi,0
YJR091C,YKL204W,ppi,0
YDR404C,YGL130W,ppi,0
YDR296W,YPL248C,ppi,0
YMR278W,YKL035W,metabolic_pathway,0
YIL062C,YMR109W,ppi,0
YMR033W,YNL030W,ppi,0
YHR119W,YIL069C,ppi,0
YOR061W,YBR160W,kinase_substrate,1
YHR082C,YAR015W,kinase_substrate,1
YBR123C,YGR047C,ppi,0
CX27,CYC86,metabolic_pathway,0
YBR044C,YKL141W,ppi,0
YDR293C,YNL118C,ppi,0
YIL106W,YMR032W,kinase_substrate,1
YJL164C,YLR345W,kinase_substrate,1
YGL013C,YOL051W,ppi,0
YJL164C,YMR081C,kinase_substrate,1
YMR230W,YOR340C,ppi,0
YER122C,YLR178C,ppi,0
YHR119W,YLR015W,ppi,0
YDR233C,YHR192W,ppi,0
YNL307C,YBL011W,kinase_substrate,1
YGR274C,YPR052C,ppi,0
YDR261C,YHR092C,metabolic_pathway,1
YBR234C,YMR109W,ppi,0
YJL095W,YDR411C,kinase_substrate,1
YGR218W,YOR326W,ppi,0
YFR036W,YDR113C,ubiquitination,1
YGR056W,YMR091C,ppi,0
YGL180W,YOR239W,kinase_substrate,1
YMR170C,YIL145C,metabolic_pathway,0
YHR135C,YDR312W,kinase_substrate,1
YDR190C,YGR091W,ppi,0
YOR267C,YBL011W,kinase_substrate,1
YAL002W,YLR396C,ppi,0
YLL021W,YOR231W,ppi,0
YBR081C,YGL120C,ppi,0
YCR063W,SNR6,ppi,0
YCR066W,YDR510W,ppi,0
YJL187C,YLR132C,kinase_substrate,1
YGR245C,YJL122W,ppi,0
Q0105,YPR191W,ppi,0
YDR356W,YHR172W,ppi,0
YGR092W,YKR080W,ppi,0
YGR282C,YFL011W,metabolic_pathway,1
YGL120C,YLR022C,ppi,0
YBR160W,YLR425W,kinase_substrate,1
YBR169C,YNL209W,ppi,0
YGL013C,YHR064C,ppi,0
YDL108W,YOR141C,ppi,0
YMR083W,YOR377W,metabolic_pathway,0
YER179W,YOR191W,ppi,0
YER082C,YJR002W,ppi,0
YPL141C,YBR155W,kinase_substrate,1
YBR060C,YMR036C,ppi,0
YFL033C,YGR276C,kinase_substrate,1
YLR300W,YDR342C,metabolic_pathway,1
YJL187C,YHR090C,kinase_substrate,1
YBL002W,SNR128,ppi,0
YPL141C,YGR276C,kinase_substrate,1
YGL167C,YKR039W,ppi,0
YLL024C,YOR027W,ppi,0
YPL204W,YPR083W,ppi,0
YBR080C,YER021W,ppi,0
YHR200W,YPR108W,ppi,0
YNL293W,YOR089C,ppi,0
YBR118W,YDR283C,ppi,0
YGR282C,YJR158W,metabolic_pathway,1
YGL059W,YAL009W,kinase_substrate,1
YHR082C,YBL057C,kinase_substrate,1
YPL141C,YML037C,kinase_substrate,1
YBR082C,YDR460W,ppi,0
YGL111W,YMR049C,ppi,0
YJL092W,YJR132W,ppi,0
YNL307C,YGR126W,kinase_substrate,1
YHR082C,YMR021C,kinase_substrate,1
YBR125C,YDR247W,ppi,0
YHR135C,YIL107C,kinase_substrate,1
YGL116W,YJL030W,ppi,0
YDR308C,YGL025C,ppi,0
YOL082W,YOL100W,ppi,0
YJL165C,YDL039C,kinase_substrate,1
YEL027W,YOR270C,ppi,0
YCR028CA,YNL298W,ppi,0
YER022W,YOL051W,ppi,0
YJL187C,YMR205C,kinase_substrate,1
YMR047C,YOL145C,ppi,0
YKL203C,YPR185W,kinase_substrate,1
YER136W,YNL304W,ppi,0
YBL002W,YJL176C,ppi,0
YHR083W,YNR017W,ppi,0
YDL047W,YDR188W,ppi,0
YNL154C,YOR208W,kinase_substrate,1
YDR164C,YPR055W,ppi,0
YHR082C,YOL091W,kinase_substrate,1
YBR159W,YOR260W,ppi,0
YDL159W,YGL035C,ppi,0
YMR193W,YNL255C,ppi,0
YPL093W,YPL131W,ppi,0
YJL164C,YKL079W,kinase_substrate,1
YDR238C,YLR268W,ppi,0
YOR244W,YER023W,acetylation,1
YNL178W,YOL076W,ppi,0
YDL220C,YLR010C,ppi,0
YGL180W,YBL032W,kinase_substrate,1
YNL154C,YDR295C,kinase_substrate,1
YGL048C,YPR108W,ppi,0
YBR294W,YCL050C,metabolic_pathway,1
YGL200C,YLR026C,ppi,0
YAL030W,YDR027C,ppi,0
YHL025W,YPL129W,ppi,0
YDR505C,YGL122C,ppi,0
YCL059C,YJR123W,ppi,0
YCR030C,YJR076C,ppi,0
YEL069C,YGL253W,metabolic_pathway,1
YDR490C,YMR109W,ppi,0
YDL217C,YHR005CA,ppi,0
YGL113W,YPR019W,ppi,0
RDN371,YBR049C,ppi,0
YOR039W,YGR113W,kinase_substrate,1
YGR128C,YIL091C,ppi,0
YLR098C,YNL056W,ppi,0
YHR108W,YJR125C,ppi,0
YJL164C,YMR229C,kinase_substrate,1
YDL064W,YMR190C,ppi,0
YJL164C,YKL116C,kinase_substrate,1
YLR148W,YLR396C,ppi,0
YER139C,YOL005C,ppi,0
YCL059C,YDR365C,ppi,0
YBR038W,YFR028C,ppi,0
YNL316C,YDR380W,metabolic_pathway,1
YIR010W,YKL089W,ppi,0
YGR218W,YNL118C,ppi,0
YFL042C,YFR051C,ppi,0
YHR082C,YOR208W,kinase_substrate,1
YPL129W,YPL203W,ppi,0
YGL252C,YMR223W,ppi,0
YHL030W,YOR362C,ppi,0
YLL036C,YMR213W,ppi,0
YAL034WA,YGL093W,ppi,0
YKL171W,YNL027W,kinase_substrate,1
YHR205W,YDR005C,kinase_substrate,1
YFR014C,YBL047C,kinase_substrate,1
YNL307C,YDL128W,kinase_substrate,1
YGL060W,YNL031C,ppi,0
YBR112C,YJL168C,ppi,0
YLR180W,YNL288W,ppi,0
YER068W,YOR362C,ppi,0
YML056C,YLR209C,metabolic_pathway,0
YAL005C,YNL007C,ppi,0
YNL232W,YPR072W,ppi,0
YDL140C,YMR125W,ppi,0
YFL033C,YOR162C,kinase_substrate,1
YMR167W,YOL090W,ppi,0
YLR113W,YPR175W,ppi,0
YOL103W,YPR113W,metabolic_pathway,1
YBL101C,YOL122C,ppi,0
YBL031W,YDR318W,ppi,0
YDR381W,YEL026W,ppi,0
YBR136W,YDR225W,kinase_substrate,1
YBR031W,YCL059C,ppi,0
YIL035C,YDR346C,kinase_substrate,1
YER025W,YGR214W,ppi,0
YJL167W,YPL117C,metabolic_pathway,0
YMR140W,YOR351C,ppi,0
YBL045C,YDL067C,ppi,0
YPL031C,YFL028C,kinase_substrate,1
YGL158W,YPL042C,ppi,0
YKL185W,YLL039C,ppi,0
YGR198W,YLR305C,ppi,0
YDR356W,YGL093W,ppi,0
Q0085,YLR393W,ppi,0
YKL104C,YKL116C,ppi,0
YLR300W,YHR094C,metabolic_pathway,1
YDL145C,YEL002C,ppi,0
YAL021C,YFL028C,ppi,0
YFR052W,YKL145W,ppi,0
YOR109W,YDR208W,metabolic_pathway,0
YGL016W,YMR047C,ppi,0
YDR311W,YOL051W,ppi,0
YDL065C,YPL203W,ppi,0
YJL154C,YOR132W,ppi,0
YIL105C,YJL058C,ppi,0
YBL079W,YDL116W,ppi,0
YOR310C,YPL193W,ppi,0
YBL023C,YLL004W,ppi,0
YGL223C,YGR120C,ppi,0
YNL093W,YOR370C,ppi,0
YDL155W,YLR310C,ppi,0
YBR160W,YCL063W,kinase_substrate,1
YDR448W,YHR030C,ppi,0
YER012W,YOR123C,ppi,0
YHR041C,YNL030W,ppi,0
YPL204W,YJR125C,kinase_substrate,1
YDL058W,YFL038C,ppi,0
YLR146C,YLL028W,metabolic_pathway,0
YDR244W,YHR160C,ppi,0
YIL144W,YMR001C,ppi,0
YDL101C,YKL025C,ppi,0
YML062C,YNL253W,ppi,0
YJR045C,YLR362W,ppi,0
YIR006C,YMR109W,ppi,0
YHR079C,YLL043W,kinase_substrate,1
RDN251,YPL043W,ppi,0
YIL150C,YPR019W,ppi,0
YDL235C,YHR206W,kinase_substrate,1
YGL120C,YHR088W,ppi,0
YJR093C,YPR107C,ppi,0
YLR157C,YPL265W,metabolic_pathway,1
YDR489W,YEL032W,ppi,0
YHR186C,YPR165W,ppi,0
YMR268C,YNL147W,ppi,0
YER120W,YMR216C,ppi,0
YDR177W,YER012W,ppi,0
YGR104C,YNR010W,ppi,0
YHR135C,YPR158CC,kinase_substrate,1
YPL141C,YFL023W,kinase_substrate,1
YGL059W,YIL042C,ppi,0
YGL112C,YPL254W,ppi,0
YLL039C,YOR212W,ppi,0
YPL031C,YPR119W,ppi,0
YAL013W,YBR095C,ppi,0
YER125W,YDL203C,ubiquitination,1
YDL207W,YLR347C,ppi,0
YER059W,YPL031C,ppi,0
YFL010C,YOR351C,ppi,0
YCR002C,YNL233W,ppi,0
YDR099W,YJR005W,ppi,0
YIL094C,YOR222W,metabolic_pathway,1
YJR059W,YKL061W,kinase_substrate,1
YBL016W,YKL064W,kinase_substrate,1
YLR300W,YEL069C,metabolic_pathway,1
