Protein1,Protein2,Interaction,Directed
YBR160W,YMR032W,kinase_substrate,1
YER002W,YPL093W,ppi,0
YDR381W,YKL139W,ppi,0
YPL153C,YDL019C,kinase_substrate,1
YBL016W,YDR216W,ppi,0
YLR158C,YFL055W,metabolic_pathway,1
YLR441C,YNL255C,ppi,0
YBR167C,YGR030C,ppi,0
YDL028C,YOR373W,ppi,0
YEL029C,YOL061W,ppi,0
YIR010W,YLR381W,ppi,0
YJR059W,YHR207C,kinase_substrate,1
YMR028W,YPL152W,ppi,0
YDR052C,YPR019W,ppi,0
YPL031C,YOR110W,kinase_substrate,1
YKL213C,YNR006W,ppi,0
YDR527W,YJR072C,ppi,0
YDR363WA,YFR052W,ppi,0
YPL031C,YML058WA,kinase_substrate,1
YAL034WA,YDR254W,ppi,0
YGL059W,YFL017WA,kinase_substrate,1
YBR060C,YHR118C,ppi,0
YBR010W,YGL097W,ppi,0
RDN252,YOL041C,ppi,0
YHR119W,YNL031C,methylation,1
YAR007C,YBL023C,ppi,0
YPL146C,YPL211W,ppi,0
YCL032W,YNL090W,ppi,0
YDR333C,YGR214W,ppi,0
YBL006C,YMR033W,ppi,0
YGR103W,YOR267C,ppi,0
YMR033W,YPL129W,ppi,0
YNL207W,YPL204W,ppi,0
YDR322CA,YML081CA,ppi,0
YDR178W,YLR136C,ppi,0
YAL038W,YDL116W,ppi,0
YER167W,YGR229C,ppi,0
YDL059C,YGR056W,ppi,0
YPR068C,YJL074C,deacetylation,1
YGR120C,YLR262C,ppi,0
YJL091C,CX99,metabolic_pathway,0
YJL034W,YJL073W,ppi,0
YOR244W,YER030W,acetylation,1
YER125W,YDR404C,ubiquitination,1
YCL024W,YCL035C,ppi,0
YJL106W,YNL245C,kinase_substrate,1
YIL162W,YOL156W,metabolic_pathway,1
YBR289W,YHL025W,ppi,0
YDR477W,YHR207C,ppi,0
YHR083W,YNL070W,ppi,0
YLR223C,YPL153C,ppi,0
YBR160W,YPL269W,kinase_substrate,1
YIL115C,YPL169C,ppi,0
YER133W,YKL203C,ppi,0
YDL059C,YML032C,ppi,0
YDR395W,YKL068W,ppi,0
YKL117W,YLR244C,ppi,0
YDL140C,YHR099W,ppi,0
YKL166C,YPL056C,kinase_substrate,1
YAR007C,YGL207W,ppi,0
YBL045C,YPL215W,ppi,0
YDR060W,YOR206W,ppi,0
YNL298W,YMR232W,kinase_substrate,1
YMR093W,YPL126W,ppi,0
YBR155W,YPL240C,ppi,0
YOR190W,YOL156W,metabolic_pathway,1
YGR232W,YLR421C,ppi,0
YJL106W,YHL024W,kinase_substrate,1
YAL021C,YDR138W,ppi,0
YPL248C,YPR056W,ppi,0
YMR216C,YLL008W,kinase_substrate,1
YNR016C,YPL004C,ppi,0
YDR356W,YFR002W,ppi,0
YHR166C,YPR119W,ppi,0
YGL233W,YPR055W,ppi,0
YER020W,YPL268W,ppi,0
YBR230C,YIL136W,ppi,0
YDR432W,YER112W,ppi,0
YDR099W,YGL003C,ppi,0
YJR112W,YKL049C,ppi,0
YMR001C,YBR098W,kinase_substrate,1
YGL059W,YLR258W,kinase_substrate,1
YLR146C,YGR138C,metabolic_pathway,0
YGL022W,YOR085W,ppi,0
YGR080W,YIL034C,ppi,0
YDL155W,YIL115C,ppi,0
YHR005CA,YKL195W,ppi,0
YFL023W,YPR106W,ppi,0
YPL031C,YGL023C,kinase_substrate,1
YGL180W,YDR113C,kinase_substrate,1
YJL095W,YNL125C,kinase_substrate,1
YKR021W,YKR039W,ppi,0
YDR087C,YNL178W,ppi,0
YER067W,YLL039C,ppi,0
YDL084W,YMR228W,ppi,0
YOR206W,YOR272W,ppi,0
YHR066W,YPR143W,ppi,0
YLR442C,YNL216W,ppi,0
YBR177C,YOL018C,ppi,0
YBL052C,YDR224C,ppi,0
YAL016W,YPL152W,ppi,0
YAL005C,YER110C,ppi,0
YGR048W,YOR144C,ppi,0
YGL019W,YLR399C,ppi,0
YGL158W,YDL220C,kinase_substrate,1
YKL180W,YNR053C,ppi,0
YGR052W,YJL105W,kinase_substrate,1
YHR135C,YMR081C,kinase_substrate,1
YIL022W,YLR008C,ppi,0
YLR025W,YMR077C,ppi,0
YAL032C,YNL271C,ppi,0
YIL143C,YPL240C,ppi,0
YKL103C,YLL013C,ppi,0
YNL307C,YCR105W,kinase_substrate,1
YAL032C,YBL084C,ppi,0
YDL132W,YDR139C,neddrub1ylation,1
YLR078C,YLR268W,ppi,0
YML075C,YOL013C,ppi,0
YBR130C,YKL130C,ppi,0
YDR303C,YPL082C,ppi,0
YFR028C,YDR146C,phosphatase_substrate,1
YFL013C,YJL081C,ppi,0
YML105C,YPL210C,ppi,0
YJL164C,YIL107C,kinase_substrate,1
YGL137W,YMR291W,ppi,0
YNL130C,YLL031C,metabolic_pathway,0
YKL113C,YML061C,ppi,0
YNL154C,YNL284CA,kinase_substrate,1
YDL082W,YDR091C,ppi,0
YOL077C,YOR294W,ppi,0
YBR121C,YGR128C,ppi,0
YAL032C,YGR071C,ppi,0
YGL098W,YKL196C,ppi,0
YNL244C,YOR361C,ppi,0
YDL017W,YDR168W,ppi,0
YPL082C,YPR023C,ppi,0
YHL004W,YPR166C,ppi,0
YPL031C,YGL119W,kinase_substrate,1
YDR480W,YPL256C,ppi,0
YDR122W,YGR238C,ppi,0
YEL005C,YGL079W,ppi,0
YJR092W,YPR122W,ppi,0
YBR160W,YMR005W,kinase_substrate,1
YBR079C,YLR178C,ppi,0
YGR092W,YNL007C,kinase_substrate,1
YIL075C,YOR362C,ppi,0
YNL307C,YFR022W,kinase_substrate,1
YER023W,YGL137W,ppi,0
RDN182,YOR048C,ppi,0
YKL104C,YPR106W,ppi,0
YDR052C,YLR274W,ppi,0
YGR009C,YIL068C,ppi,0
YBR254C,YFL038C,ppi,0
YDR490C,YKL166C,kinase_substrate,1
