#tail	head	edge_flux
YPL046C	YGR003W	3.95128e-06
YPL046C	YOR028C	3.95128e-06
YPL046C	YER059W	3.95128e-06
YPL046C	YBR114W	3.95128e-06
YPL046C	YGL115W	3.95128e-06
YMR298W	Repressed_..RR.s......_No_Phenotype_Exists	3.94863e-06
YMR298W	YHL003C	3.94863e-06
YMR298W	YKL008C	3.94863e-06
YNL188W	YHR172W	3.94855e-06
YNL188W	YLR212C	3.94855e-06
YNL188W	YER172C	3.94855e-06
YNL188W	YAL047C	3.94855e-06
YNL188W	YOR257W	3.94855e-06
YNL188W	YNL126W	3.94855e-06
YNL188W	YPL255W	3.94855e-06
YHL019C	YLR170C	3.94729e-06
YHL019C	YKL135C	3.94729e-06
YNL271C	YBR118W	3.94556e-06
YNL271C	YLR229C	3.94556e-06
YNL271C	YPR080W	3.94556e-06
YNL271C	YDR150W	3.94556e-06
YNL271C	YMR032W	3.94556e-06
YNL271C	YOL112W	3.94556e-06
YNL271C	YAL032C	3.94556e-06
YNL271C	YLL026W	3.94556e-06
YNL271C	YNL293W	3.94556e-06
YNL271C	YKL129C	3.94556e-06
YNL271C	YIL118W	3.94556e-06
YNL271C	YCL027W	3.94556e-06
YNL271C	YLR319C	3.94556e-06
YNL271C	YFL039C	3.94556e-06
YNL271C	YDR309C	3.94556e-06
YNL271C	YIL159W	3.94556e-06
YNL271C	YPR165W	3.94556e-06
YNL271C	YLL021W	3.94556e-06
YNL271C	YFR028C	3.94556e-06
YNL271C	YOR122C	3.94556e-06
YBR089CA	YCR084C	3.94488e-06
YBR089CA	YNL030W	3.94488e-06
YBR089CA	YHR154W	3.94488e-06
YBR089CA	YNL216W	3.94488e-06
YBR089CA	YKR095W	3.94488e-06
YBR089CA	YPL127C	3.94488e-06
YBR089CA	YDR208W	3.94488e-06
YBR089CA	YBR009C	3.94488e-06
YBR089CA	YKR062W	3.94488e-06
YBR089CA	YDL092W	3.94488e-06
YBR089CA	YJL140W	3.94488e-06
YBR089CA	YJR060W	3.94488e-06
YBR089CA	YDR224C	3.94488e-06
YBR089CA	YOR187W	3.94488e-06
YBR089CA	YPL248C	3.94488e-06
YBR089CA	YDR225W	3.94488e-06
YBR089CA	YJL176C	3.94488e-06
YBR089CA	YKL028W	3.94488e-06
YBR089CA	YPR056W	3.94488e-06
YBR089CA	YBR010W	3.94488e-06
YBR089CA	YGR005C	3.94488e-06
YBR089CA	YPR052C	3.94488e-06
YBR089CA	YGL025C	3.94488e-06
YBR089CA	YBL003C	3.94488e-06
YBR089CA	YPL194W	3.94488e-06
YBR089CA	YBL002W	3.94488e-06
YBR089CA	YDR311W	3.94488e-06
YBR089CA	YGR104C	3.94488e-06
YBR089CA	YGR274C	3.94488e-06
YBR089CA	YNL031C	3.94488e-06
YBR089CA	YPR187W	3.94488e-06
