matchType=CatSet(Constituent|motif_match|motif_unmatched|Output|Shared_Interaction|unknown_recognition_motif)	Interactor_A	Interactor_B	Dir	Sign	Annotation=CatSet(Kinase|Phosphatase|Yes)
Constituent	npi64	YDR338C	1	0		
Constituent	npi64	YDR450W	1	0		
Constituent	npi64	YER167W	1	0		
Constituent	npi64	YFL007W	1	0		
Constituent	npi64	YGR097W	1	0		
Constituent	npi64	YGR240C	1	0		
Constituent	npi64	YKL105C	1	0		
Constituent	npi64	YLR133W	1	0		
Constituent	npi64	YLR259C	1	0		
Constituent	npi64	YMR031C	1	0		
Constituent	npi64	YMR086W	1	0	Yes	
Constituent	npi64	YNL175C	1	0		
Constituent	npi64	YOL045W	1	0	Kinase	
Constituent	npi64	YOL100W	1	0	Kinase	
Constituent	npi64	YOR052C	1	0		
Constituent	npi64	YOR329C	1	0		
Constituent	npi64	YPL023C	1	0		
Constituent	npi64	YPR079W	1	0		
Constituent	pde2ia45	YOL138C	1	0		
Constituent	pde2ia45	YPL070W	1	0		
Constituent	pde2id46	YFL007W	1	0		
Constituent	pde2id46	YMR031C	1	0		
Constituent	cdc14ia10	YOR220W	1	0		
Constituent	cdc14ia10	YPL265W	1	0		
Constituent	cdc14ia10	YBL085W	1	0		
Constituent	cdc14ia10	YPL226W	1	0		
Constituent	cdc14id11	YHR158C	1	0		
Constituent	cdc14id11	YNL267W	1	0		
Constituent	hog1id32	YBR054W	1	0		
Constituent	hog1id32	YBR151W	1	0		
Constituent	hog1id32	YCR088W	1	0		
Constituent	hog1id32	YDR150W	1	0		
Constituent	hog1id32	YDR219C	1	0		
Constituent	hog1id32	YFR051C	1	0		
Constituent	hog1id32	YGL181W	1	0		
Constituent	hog1id32	YGL208W	1	0		
Constituent	hog1id32	YGR068C	1	0		
Constituent	hog1id32	YJR076C	1	0		
Constituent	hog1id32	YLL029W	1	0		
Constituent	hog1id32	YLR072W	1	0		
Constituent	hog1id32	YLR309C	1	0		
Constituent	hog1id32	YLR429W	1	0		
Constituent	hog1id32	YMR102C	1	0		
Constituent	hog1id32	YMR212C	1	0		
Constituent	hog1id32	YMR261C	1	0		
Constituent	hog1id32	YBL085W	1	0		
Constituent	hog1id32	YDL225W	1	0		
Constituent	hog1id32	YHR158C	1	0		
Constituent	hog1id32	YNL267W	1	0		
Constituent	npi65	YBL037W	1	0		
Constituent	npi65	YBR059C	1	0	Kinase	
Constituent	npi65	YDL146W	1	0		
Constituent	npi65	YDL173W	1	0		
Constituent	npi65	YER087CB	1	0		
Constituent	npi65	YGL181W	1	0		
Constituent	npi65	YGR038W	1	0		
Constituent	npi65	YGR240C	1	0		
Constituent	npi65	YGR281W	1	0		
Constituent	npi65	YHL007C	1	0	Kinase	
Constituent	npi65	YHR082C	1	0	Kinase	
Constituent	npi65	YHR086W	1	0		
Constituent	npi65	YIR006C	1	0	Yes	
Constituent	npi65	YJR092W	1	0		
Constituent	npi65	YKL004W	1	0		
Constituent	npi65	YKL064W	1	0		
Constituent	npi65	YLR096W	1	0	Kinase	
Constituent	npi65	YLR371W	1	0		
Constituent	npi65	YLR410W	1	0		
Constituent	npi65	YLR436C	1	0		
Constituent	npi65	YNL166C	1	0		
Constituent	npi65	YOL081W	1	0		
Constituent	npi65	YOL087C	1	0		
Constituent	npi65	YOR052C	1	0		
Constituent	npi65	YOR153W	1	0		
Constituent	npi65	YPL085W	1	0		
Constituent	npi65	YPL226W	1	0		
Constituent	pde2id47	YBL061C	1	0		
Constituent	pde2id47	YBR059C	1	0	Kinase	
Constituent	pde2id47	YLR257W	1	0		
Constituent	pde2id47	YOL004W	1	0		
Constituent	pde2id47	YDL225W	1	0		
Constituent	pde2id47	YPL226W	1	0		
Constituent	hog1rd33	YDR293C	1	0		
Constituent	hog1rd33	YGL197W	1	0		
Constituent	hog1rd33	YIL107C	1	0		
Constituent	hog1rd33	YJL020C	1	0		
Constituent	hog1rd33	YJL128C	1	0	Kinase	
Constituent	hog1rd33	YLR096W	1	0	Kinase	
Constituent	hog1rd33	YPL085W	1	0		
Constituent	npr66	YBL103C	1	0		
Constituent	npr66	YBR102C	1	0		
Constituent	npr66	YBR172C	1	0		
Constituent	npr66	YBR275C	1	0		
Constituent	npr66	YDL054C	1	0		
Constituent	npr66	YDR017C	1	0		
Constituent	npr66	YDR186C	1	0		
Constituent	npr66	YDR229W	1	0		
Constituent	npr66	YDR436W	1	0	Phosphatase	
Constituent	npr66	YDR439W	1	0		
Constituent	npr66	YEL032W	1	0		
Constituent	npr66	YER111C	1	0		
Constituent	npr66	YER114C	1	0		
Constituent	npr66	YER132C	1	0		
Constituent	npr66	YGL023C	1	0		
Constituent	npr66	YGL197W	1	0		
Constituent	npr66	YGR217W	1	0		
Constituent	npr66	YHR082C	1	0	Kinase	
Constituent	npr66	YHR205W	1	0	Kinase	
Constituent	npr66	YKR089C	1	0		
Constituent	npr66	YLR049C	1	0		
Constituent	npr66	YLR190W	1	0		
Constituent	npr66	YLR429W	1	0		
Constituent	npr66	YML057W	1	0	Phosphatase	
Constituent	npr66	YML119W	1	0		
Constituent	npr66	YMR005W	1	0		
Constituent	npr66	YNL243W	1	0		
Constituent	npr66	YOR058C	1	0		
Constituent	npr66	YOR220W	1	0		
Constituent	npr66	YPL115C	1	0		
Constituent	npr66	YPR019W	1	0		
Constituent	npr66	YPR159W	1	0		
Constituent	npr66	YPR185W	1	0		
Constituent	pde2ra48	YCR088W	1	0		
Constituent	pde2ra48	YDR293C	1	0		
Constituent	pde2rd49	YDR432W	1	0		
Constituent	pde2rd49	YJL162C	1	0		
Constituent	cdc14ra12	YBR028C	1	0	Kinase	
Constituent	cdc14ra12	YHR082C	1	0	Kinase	
Constituent	cdc14ra12	YJL176C	1	0		
Constituent	cdc14ra12	YPR041W	1	0		
Constituent	cdc14rd13	YBL103C	1	0		
Constituent	cdc14rd13	YHL007C	1	0	Kinase	
Constituent	cdc14rd13	YLR425W	1	0		
Constituent	npr67	YBL035C	1	0		
Constituent	npr67	YBL103C	1	0		
Constituent	npr67	YBR028C	1	0	Kinase	
Constituent	npr67	YBR102C	1	0		
Constituent	npr67	YBR172C	1	0		
Constituent	npr67	YDL150W	1	0		
Constituent	npr67	YDR033W	1	0		
Constituent	npr67	YDR407C	1	0		
Constituent	npr67	YDR507C	1	0	Kinase	
Constituent	npr67	YFR024CA	1	0		
Constituent	npr67	YHL007C	1	0	Kinase	
Constituent	npr67	YHR119W	1	0		
Constituent	npr67	YIL038C	1	0		
Constituent	npr67	YIL063C	1	0		
Constituent	npr67	YJL084C	1	0		
Constituent	npr67	YKR048C	1	0		
Constituent	npr67	YLR220W	1	0		
Constituent	npr67	YLR310C	1	0		
Constituent	npr67	YLR319C	1	0		
Constituent	npr67	YNL243W	1	0		
Constituent	npr67	YNL309W	1	0		
Constituent	npr67	YNL326C	1	0		
Constituent	npr67	YOR014W	1	0		
Constituent	npr67	YOR042W	1	0		
Constituent	npr67	YOR140W	1	0		
Constituent	npr67	YOR310C	1	0		
Constituent	npr67	YOR344C	1	0		
Constituent	npr67	YPL032C	1	0		
Constituent	npr67	YPR133C	1	0		
Constituent	pde2ra50	YFR024CA	1	0		
Constituent	pde2ra50	YIL038C	1	0		
Constituent	pde2ra50	YNL102W	1	0		
Constituent	pde2ra50	YOR227W	1	0		
Constituent	pde2ra50	YHL007C	1	0	Kinase	
Constituent	pde2ra50	YLR138W	1	0		
Constituent	hog1rd34	YDR293C	1	0		
Constituent	hog1rd34	YPL070W	1	0		
Constituent	npr68	YBL097W	1	0		
Constituent	npr68	YBR023C	1	0		
Constituent	npr68	YBR207W	1	0		
Constituent	npr68	YDR293C	1	0		
Constituent	npr68	YER155C	1	0		
Constituent	npr68	YFR024CA	1	0		
Constituent	npr68	YGL181W	1	0		
Constituent	npr68	YGL197W	1	0		
Constituent	npr68	YGR196C	1	0		
Constituent	npr68	YGR250C	1	0		
Constituent	npr68	YHR023W	1	0		
Constituent	npr68	YIL105C	1	0		
Constituent	npr68	YIL107C	1	0		
Constituent	npr68	YJL100W	1	0		
Constituent	npr68	YJL112W	1	0		
Constituent	npr68	YLR319C	1	0		
Constituent	npr68	YLR332W	1	0		
Constituent	npr68	YML006C	1	0		
Constituent	npr68	YML117W	1	0		
Constituent	npr68	YML123C	1	0		
Constituent	npr68	YMR109W	1	0		
Constituent	npr68	YNL039W	1	0		
Constituent	npr68	YNL233W	1	0		
Constituent	npr68	YOR092W	1	0		
Constituent	npr68	YOR140W	1	0		
Constituent	npr68	YOR233W	1	0	Kinase	
Constituent	pde2ra51	YDR432W	1	0		
Constituent	pde2ra51	YER155C	1	0		
Constituent	pde2ra51	YHL007C	1	0	Kinase	
Constituent	pde2ra51	YML117W	1	0		
Constituent	npr69	YAL041W	1	0	Yes	
Constituent	npr69	YBL005WB	1	0		
Constituent	npr69	YBR059C	1	0	Kinase	
Constituent	npr69	YBR102C	1	0		
Constituent	npr69	YBR130C	1	0		
Constituent	npr69	YDL102W	1	0		
Constituent	npr69	YDR017C	1	0		
Constituent	npr69	YDR507C	1	0	Kinase	
Constituent	npr69	YER016W	1	0		
Constituent	npr69	YGR157W	1	0		
Constituent	npr69	YHL007C	1	0	Kinase|Yes
Constituent	npr69	YKR010C	1	0		
Constituent	npr69	YLR271W	1	0		
Constituent	npr69	YML051W	1	0		
Constituent	npr69	YML117W	1	0		
Constituent	npr69	YNL118C	1	0	Yes	
Constituent	npr69	YNL197C	1	0		
Constituent	npr69	YPL141C	1	0	Kinase	
Constituent	cdc14ra14	YML016C	1	0	Phosphatase	
Constituent	cdc14ra14	YML072C	1	0		
Constituent	cdc14rd15	YFL002WA	1	0		
Constituent	cdc14rd15	YJL076W	1	0		
Constituent	cdc14rd15	YJL165C	1	0	Kinase	
Constituent	cdc14rd15	YKR092C	1	0		
Constituent	cdc14rd15	YNL297C	1	0		
Constituent	cdc14rd15	YOL036W	1	0		
Constituent	cdc14rd15	YOR092W	1	0		
Constituent	cdc14rd15	YBR130C	1	0		
Constituent	cdc14rd15	YBR133C	1	0		
Constituent	cdc14rd15	YDR169C	1	0		
Constituent	cdc14rd15	YKR048C	1	0		
Constituent	hog1rd35	YDR379W	1	0		
Constituent	hog1rd35	YPR072W	1	0		
Constituent	hog1rd35	YBL085W	1	0		
Constituent	hog1rd35	YBL103C	1	0		
Constituent	hog1rd35	YBR133C	1	0		
Constituent	npr70	YAL041W	1	0		
Constituent	npr70	YBL101C	1	0		
Constituent	npr70	YBL103C	1	0		
Constituent	npr70	YBR023C	1	0		
Constituent	npr70	YBR059C	1	0	Kinase	
Constituent	npr70	YBR130C	1	0		
Constituent	npr70	YDL019C	1	0		
Constituent	npr70	YDL167C	1	0		
Constituent	npr70	YDL195W	1	0		
Constituent	npr70	YDR122W	1	0	Kinase	
Constituent	npr70	YDR348C	1	0		
Constituent	npr70	YDR351W	1	0		
Constituent	npr70	YDR422C	1	0		
