edge	sources	pmids
YGL151W (u) YNL236W	guglielmib2004|gavinac2006|krogannj2006|collinssr2007	16554755|15477388|16429126|17200106
YNL236W (u) YGL151W	guglielmib2004|gavinac2006|krogannj2006|collinssr2007	16554755|15477388|16429126|17200106
YGL151W (u) YPR070W	guglielmib2004|gavinac2006|krogannj2006|collinssr2007	16554755|15477388|16429126|17200106
YPR070W (u) YGL151W	guglielmib2004|gavinac2006|krogannj2006|collinssr2007	16554755|15477388|16429126|17200106
YGL153W (u) YGR077C	agneb2003|oeljeklauss2012	22375831|12667447
YGR077C (u) YGL153W	agneb2003|oeljeklauss2012	22375831|12667447
YGL153W (u) YHR160C	hensela2011|grunaus2009	22021076|19183303
YHR160C (u) YGL153W	hensela2011|grunaus2009	22021076|19183303
YGL153W (u) YJL210W	agneb2003|oeljeklauss2012|vanderzanda2012|plattahw2009	22375831|19687296|12667447|22500805
YJL210W (u) YGL153W	agneb2003|oeljeklauss2012|vanderzanda2012|plattahw2009	22375831|19687296|12667447|22500805
YGL153W (u) YKL197C	rosenkranzk2006	16911527
YKL197C (u) YGL153W	rosenkranzk2006	16911527
YGL153W (u) YLR191W	agneb2003|barnettp2000|girzalskyw1999|albertinim1997|vanderzanda2012|hensela2011|oeljeklauss2012|schellstevena2005|brocardc1997|tonikianr2009|douangamatha2002|bottgerg2000|deckersm2010|eckertjh2003	12876220|10087260|22021076|9094717|12453410|19841731|20655618|22375831|12667447|22500805|11071920|9312008|11101511|15798189
YLR191W (u) YGL153W	agneb2003|barnettp2000|girzalskyw1999|albertinim1997|vanderzanda2012|hensela2011|oeljeklauss2012|schellstevena2005|brocardc1997|tonikianr2009|douangamatha2002|bottgerg2000|deckersm2010|eckertjh2003	12876220|10087260|22021076|9094717|12453410|19841731|20655618|22375831|12667447|22500805|11071920|9312008|11101511|15798189
YGL153W (u) YMR026C	agneb2003|albertinim2001|oeljeklauss2012	22375831|11370741|12667447
YMR026C (u) YGL153W	agneb2003|albertinim2001|oeljeklauss2012	22375831|11370741|12667447
YGL153W (u) YNL214W	collinssr2007|agneb2003|girzalskyw2006|tarassovk2008|oeljeklauss2012	22375831|12667447|17200106|16679311|18467557
YNL214W (u) YGL153W	collinssr2007|agneb2003|girzalskyw2006|tarassovk2008|oeljeklauss2012	22375831|12667447|17200106|16679311|18467557
YGL153W (u) YNL329C	rosenkranzk2006|tarassovk2008	16911527|18467557
YNL329C (u) YGL153W	rosenkranzk2006|tarassovk2008	16911527|18467557
YGL153W (u) YOL044W	rosenkranzk2006|eckertjh2003|oeljeklauss2012	16911527|12876220|22375831
YOL044W (u) YGL153W	rosenkranzk2006|eckertjh2003|oeljeklauss2012	16911527|12876220|22375831
YGL153W (u) YOL147C	schlechtu2012|tarassovk2008|oeljeklauss2012	22375831|18467557|22615397
YOL147C (u) YGL153W	schlechtu2012|tarassovk2008|oeljeklauss2012	22375831|18467557|22615397
YGL153W (u) YPL112C	oeljeklauss2012	22375831
YPL112C (u) YGL153W	oeljeklauss2012	22375831
YGL155W (u) YKL019W	yuh2008|babum2012|uetzp2000|krogannj2006|mayerml1992|brooksma2010|collinssr2007	1400380|20826334|16554755|18719252|10688190|17200106|22940862
YKL019W (u) YGL155W	yuh2008|babum2012|uetzp2000|krogannj2006|mayerml1992|brooksma2010|collinssr2007	1400380|20826334|16554755|18719252|10688190|17200106|22940862
YGL156W (u) YGL215W	breitkreutza2010	20489023
YGL215W (u) YGL156W	breitkreutza2010	20489023
YGL156W (u) YJL074C	whiteej2004	15166136
YJL074C (u) YGL156W	whiteej2004	15166136
YGL156W (u) YKL103C	hoy2002|yuh2008	18719252|11805837
YKL103C (u) YGL156W	hoy2002|yuh2008	18719252|11805837
YGL156W (u) YOL001W	breitkreutza2010	20489023
YOL001W (u) YGL156W	breitkreutza2010	20489023
YGL156W (u) YOL082W	shintanit2002|itot2001|watanabey2010|yugam2011	20659891|21343297|11283351|12479808
YOL082W (u) YGL156W	shintanit2002|itot2001|watanabey2010|yugam2011	20659891|21343297|11283351|12479808
YGL156W (u) YOL083W	yuh2008|suzukik2010	18719252|20639194
YOL083W (u) YGL156W	yuh2008|suzukik2010	18719252|20639194
YGL156W (u) YPL204W	breitkreutza2010	20489023
YPL204W (u) YGL156W	breitkreutza2010	20489023
YGL158W (u) YGR166W	bilslande2004	15341652
YGR166W (u) YGL158W	bilslande2004	15341652
YGL158W (u) YGR252W	breitkreutza2010	20489023
YGR252W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YHL025W	breitkreutza2010	20489023
YHL025W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YHR058C	breitkreutza2010	20489023
YHR058C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YHR099W	breitkreutza2010	20489023
YHR099W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YHR104W	fasoloj2011	21460040
YHR104W (u) YGL158W	fasoloj2011	21460040
YGL158W (u) YJL081C	breitkreutza2010	20489023
YJL081C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YJL176C	breitkreutza2010	20489023
YJL176C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YJR066W	breitkreutza2010	20489023
YJR066W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YJR119C	fasoloj2011	21460040
YJR119C (u) YGL158W	fasoloj2011	21460040
YGL158W (u) YLR055C	breitkreutza2010	20489023
YLR055C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YLR071C	breitkreutza2010	20489023
YLR071C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YLR113W	hoy2002|uetzp2000	10688190|11805837
YLR113W (u) YGL158W	hoy2002|uetzp2000	10688190|11805837
YGL158W (u) YML048W	fasoloj2011	21460040
YML048W (u) YGL158W	fasoloj2011	21460040
YGL158W (u) YML091C	breitkreutza2010	20489023
YML091C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YMR223W	breitkreutza2010	20489023
YMR223W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YMR235C	fasoloj2011	21460040
YMR235C (u) YGL158W	fasoloj2011	21460040
YGL158W (u) YMR243C	bilslande2004	15341652
YMR243C (u) YGL158W	bilslande2004	15341652
YGL158W (u) YNL065W	bilslande2004	15341652
YNL065W (u) YGL158W	bilslande2004	15341652
YGL158W (u) YNL107W	breitkreutza2010	20489023
YNL107W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YNL236W	breitkreutza2010	20489023
YNL236W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YNR023W	breitkreutza2010	20489023
YNR023W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YOL051W	breitkreutza2010	20489023
YOL051W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YOL070C	fasoloj2011	21460040
YOL070C (u) YGL158W	fasoloj2011	21460040
YGL158W (u) YOL148C	breitkreutza2010	20489023
YOL148C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YOR174W	breitkreutza2010	20489023
YOR174W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YOR271C	fasoloj2011	21460040
YOR271C (u) YGL158W	fasoloj2011	21460040
YGL158W (u) YOR290C	breitkreutza2010	20489023
YOR290C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPL016W	breitkreutza2010	20489023
YPL016W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPL031C	breitkreutza2010	20489023
YPL031C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPL042C	breitkreutza2010	20489023
YPL042C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPL058C	bilslande2004	15341652
YPL058C (u) YGL158W	bilslande2004	15341652
YGL158W (u) YPL204W	breitkreutza2010	20489023
YPL204W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPL254W	breitkreutza2010	20489023
YPL254W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPR010C	breitkreutza2010	20489023
YPR010C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPR070W	breitkreutza2010	20489023
YPR070W (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPR110C	breitkreutza2010	20489023
YPR110C (u) YGL158W	breitkreutza2010	20489023
YGL158W (u) YPR168W	breitkreutza2010	20489023
YPR168W (u) YGL158W	breitkreutza2010	20489023
YGL161C (u) YGL198W	itot2001|uetzp2000|calerom2002|inadomeh2007	17178117|11943201|11283351|10688190
YGL198W (u) YGL161C	itot2001|uetzp2000|calerom2002|inadomeh2007	17178117|11943201|11283351|10688190
YGL161C (u) YGL212W	vollertcs2004|uetzp2000	15263065|10688190
YGL212W (u) YGL161C	vollertcs2004|uetzp2000	15263065|10688190
YGL161C (u) YGR172C	calerom2002	11943201
YGR172C (u) YGL161C	calerom2002	11943201
YGL161C (u) YHR105W	vollertcs2004|uetzp2000	15263065|10688190
YHR105W (u) YGL161C	vollertcs2004|uetzp2000	15263065|10688190
YGL161C (u) YLL039C	guptar2007|pengj2003	12872131|17551511
YLL039C (u) YGL161C	guptar2007|pengj2003	12872131|17551511
YGL161C (u) YOR357C	vollertcs2004	15263065
YOR357C (u) YGL161C	vollertcs2004	15263065
YGL162W (u) YHL007C	linm2009	19793923
YHL007C (u) YGL162W	linm2009	19793923
YGL162W (u) YNL298W	linm2009	19793923
YNL298W (u) YGL162W	linm2009	19793923
YGL162W (u) YOL113W	linm2009	19793923
YOL113W (u) YGL162W	linm2009	19793923
YGL163C (u) YNL031C	kwony2007	17544928
YNL031C (u) YGL163C	kwony2007	17544928
YGL164C (u) YLR293C	braunwartha2003	12578832
YLR293C (u) YGL164C	braunwartha2003	12578832
YGL167C (u) YKR039W	devasahayamg2006	17095607
YKR039W (u) YGL167C	devasahayamg2006	17095607
YGL167C (u) YLR026C	inadomeh2005	16107716
YLR026C (u) YGL167C	inadomeh2005	16107716
YGL170C (u) YOL091W	nickasme2003	12796288
YOL091W (u) YGL170C	nickasme2003	12796288
YGL171W (u) YJL010C	thomsone2007	17956976
YJL010C (u) YGL171W	thomsone2007	17956976
YGL171W (u) YJR002W	grannemans2006	16449634
YJR002W (u) YGL171W	grannemans2006	16449634
YGL171W (u) YKL021C	saveanuc2007	17308036
YKL021C (u) YGL171W	saveanuc2007	17308036
YGL171W (u) YPL204W	schaefert2003	12628929
YPL204W (u) YGL171W	schaefert2003	12628929
YGL172W (u) YGR119C	yuh2008|babum2012|uetzp2000|alberf2007|schlaichnl1997|krogannj2006|belgarehn1998|buccim1998|tarassovk2008|itot2001|collinssr2007|lutzmannm2005	11283351|18046405|16554755|18467557|9725905|9017593|15741174|18719252|10688190|9843582|17200106|22940862
YGR119C (u) YGL172W	yuh2008|babum2012|uetzp2000|alberf2007|schlaichnl1997|krogannj2006|belgarehn1998|buccim1998|tarassovk2008|itot2001|collinssr2007|lutzmannm2005	11283351|18046405|16554755|18467557|9725905|9017593|15741174|18719252|10688190|9843582|17200106|22940862
YGL172W (u) YGR218W	allennp2001|nevillem1997|neubera2008	11387327|18573877|9368759
YGR218W (u) YGL172W	allennp2001|nevillem1997|neubera2008	11387327|18573877|9368759
YGL172W (u) YJL039C	alberf2007	18046405
YJL039C (u) YGL172W	alberf2007	18046405
YGL172W (u) YJL041W	babum2012|alberf2007|routmp1993|schlaichnl1997|grandip1995|krogannj2006|bailersm2001|belgarehn1998|lutzmannm2005|tarassovk2008|collinssr2007|grandip1993	7688296|18046405|7559750|11689687|17200106|18467557|8227139|15741174|9017593|9843582|16554755|22940862
YJL041W (u) YGL172W	babum2012|alberf2007|routmp1993|schlaichnl1997|grandip1995|krogannj2006|bailersm2001|belgarehn1998|lutzmannm2005|tarassovk2008|collinssr2007|grandip1993	7688296|18046405|7559750|11689687|17200106|18467557|8227139|15741174|9017593|9843582|16554755|22940862
YGL172W (u) YJL057C	fasoloj2011	21460040
YJL057C (u) YGL172W	fasoloj2011	21460040
YGL172W (u) YJR022W	spillermp2007	18029398
YJR022W (u) YGL172W	spillermp2007	18029398
YGL172W (u) YJR042W	allennp2001|allennp2002|damelinm2002	11387327|12496130|12543930
YJR042W (u) YGL172W	allennp2001|allennp2002|damelinm2002	11387327|12496130|12543930
YGL172W (u) YKL057C	allennp2001|allennp2002	11387327|12543930
YKL057C (u) YGL172W	allennp2001|allennp2002	11387327|12543930
YGL172W (u) YKR082W	allennp2001|alberf2007	11387327|18046405
YKR082W (u) YGL172W	allennp2001|alberf2007	11387327|18046405
YGL172W (u) YLR335W	allennp2001|tarassovk2008	11387327|18467557
YLR335W (u) YGL172W	allennp2001|tarassovk2008	11387327|18467557
YGL172W (u) YLR347C	tetenbaumnovattj2012|allennp2001|tarassovk2008|aitchisonjd1996	11387327|22357553|8849456|18467557
YLR347C (u) YGL172W	tetenbaumnovattj2012|allennp2001|tarassovk2008|aitchisonjd1996	11387327|22357553|8849456|18467557
YGL172W (u) YLR430W	ursicd2004	15121901
YLR430W (u) YGL172W	ursicd2004	15121901
YGL172W (u) YML092C	cagneyg2001	11595789
YML092C (u) YGL172W	cagneyg2001	11595789
YGL172W (u) YMR047C	routmp2000|alberf2007|routmp1993	10684247|18046405|8227139
YMR047C (u) YGL172W	routmp2000|alberf2007|routmp1993	10684247|18046405|8227139
YGL172W (u) YMR129W	alberf2007	18046405
YMR129W (u) YGL172W	alberf2007	18046405
YGL172W (u) YMR138W	chorj1998	9520439
YMR138W (u) YGL172W	chorj1998	9520439
YGL172W (u) YMR308C	tetenbaumnovattj2012|allennp2001	11387327|22357553
YMR308C (u) YGL172W	tetenbaumnovattj2012|allennp2001	11387327|22357553
YGL172W (u) YNL147W	spillermp2007	18029398
YNL147W (u) YGL172W	spillermp2007	18029398
YGL172W (u) YOR160W	nevillem1997	9368759
YOR160W (u) YGL172W	nevillem1997	9368759
YGL173C (u) YGR054W	krogannj2006|collinssr2007|krogannj2004|reinekelc2011	21915340|16554755|14759368|17200106
YGR054W (u) YGL173C	krogannj2006|collinssr2007|krogannj2004|reinekelc2011	21915340|16554755|14759368|17200106
YGL173C (u) YJL095W	breitkreutza2010	20489023
YJL095W (u) YGL173C	breitkreutza2010	20489023
YGL173C (u) YJR022W	fromontracinem2000|krogannj2006|fromontracinem1997	9207794|16554755|10900456
YJR022W (u) YGL173C	fromontracinem2000|krogannj2006|fromontracinem1997	9207794|16554755|10900456
YGL173C (u) YKL074C	changj2012	22287628
YKL074C (u) YGL173C	changj2012	22287628
YGL173C (u) YKL139W	hurte2004	14769921
YKL139W (u) YGL173C	hurte2004	14769921
YGL173C (u) YKL198C	breitkreutza2010	20489023
YKL198C (u) YGL173C	breitkreutza2010	20489023
YGL173C (u) YKR081C	sahasranamana2011	21926967
YKR081C (u) YGL173C	sahasranamana2011	21926967
YGL173C (u) YLL019C	breitkreutza2010	20489023
YLL019C (u) YGL173C	breitkreutza2010	20489023
YGL173C (u) YLL036C	stevenssw2002	11804584
YLL036C (u) YGL173C	stevenssw2002	11804584
YGL173C (u) YLR116W	changj2012	22287628
YLR116W (u) YGL173C	changj2012	22287628
YGL173C (u) YLR270W	sinturelf2012	22570495
YLR270W (u) YGL173C	sinturelf2012	22570495
YGL173C (u) YLR438CA	taokam2009|bouverete2000|krogannj2006|krogannj2004	10747033|16554755|19740761|14759368
YLR438CA (u) YGL173C	taokam2009|bouverete2000|krogannj2006|krogannj2004	10747033|16554755|19740761|14759368
YGL173C (u) YML111W	breitkreutza2010	20489023
YML111W (u) YGL173C	breitkreutza2010	20489023
YGL173C (u) YNL118C	fromontracinem2000|gavinac2006|collinssr2007	17200106|10900456|16429126
YNL118C (u) YGL173C	fromontracinem2000|gavinac2006|collinssr2007	17200106|10900456|16429126
YGL173C (u) YPL109C	breitkreutza2010	20489023
YPL109C (u) YGL173C	breitkreutza2010	20489023
YGL173C (u) YPR106W	breitkreutza2010	20489023
YPR106W (u) YGL173C	breitkreutza2010	20489023
YGL174W (u) YIR005W	trowitzschs2008|uetzp2000|wangq2005|dziembowskia2004|hoy2002|brooksma2009	18809678|11805837|16314500|19033360|15565172|10688190
YIR005W (u) YGL174W	trowitzschs2008|uetzp2000|wangq2005|dziembowskia2004|hoy2002|brooksma2009	18809678|11805837|16314500|19033360|15565172|10688190
YGL175C (u) YJL092W	chioloi2005	15964827
YJL092W (u) YGL175C	chioloi2005	15964827
YGL175C (u) YMR001C	donniannira2010	20098491
YMR001C (u) YGL175C	donniannira2010	20098491
YGL175C (u) YPR119W	huertasp2008	18716619
YPR119W (u) YGL175C	huertasp2008	18716619
YGL178W (u) YGR040W	chent1997	9154842
YGR040W (u) YGL178W	chent1997	9154842
