edge	sources	pmids
YGL178W (u) YKL204W	blewettnh2012	22890846
YKL204W (u) YGL178W	blewettnh2012	22890846
YGL178W (u) YKR059W	ulbrichtrj2008	18094119
YKR059W (u) YGL178W	ulbrichtrj2008	18094119
YGL178W (u) YLR452C	xube2001|chent1997	11779797|9154842
YLR452C (u) YGL178W	xube2001|chent1997	11779797|9154842
YGL178W (u) YNR052C	hookba2007|tarassovk2008	17389596|18467557
YNR052C (u) YGL178W	hookba2007|tarassovk2008	17389596|18467557
YGL178W (u) YOR276W	cridgeag2010	20705650
YOR276W (u) YGL178W	cridgeag2010	20705650
YGL179C (u) YJR154W	fasoloj2011	21460040
YJR154W (u) YGL179C	fasoloj2011	21460040
YGL179C (u) YMR140W	fasoloj2011	21460040
YMR140W (u) YGL179C	fasoloj2011	21460040
YGL180W (u) YLR423C	yehyy2011|kraftc2012|kabeyay2005|cheongh2005|caoy2009|yehyy2010|breitkreutza2010|kamaday2010|kawamatat2008|nakatogawah2012	18287526|15901835|20439775|20489023|22778255|19337029|19995911|21712380|22885598|15743910
YLR423C (u) YGL180W	yehyy2011|kraftc2012|kabeyay2005|cheongh2005|caoy2009|yehyy2010|breitkreutza2010|kamaday2010|kawamatat2008|nakatogawah2012	18287526|15901835|20439775|20489023|22778255|19337029|19995911|21712380|22885598|15743910
YGL180W (u) YPL166W	kraftc2012|kawamatat2008	22885598|18287526
YPL166W (u) YGL180W	kraftc2012|kawamatat2008	22885598|18287526
YGL180W (u) YPR049C	kamaday2000|caoy2009|breitkreutza2010|kimj2001|yorimitsut2005|cheongh2008|kawamatat2008	18287526|15659643|11309418|20489023|18077553|10995454|19337029
YPR049C (u) YGL180W	kamaday2000|caoy2009|breitkreutza2010|kimj2001|yorimitsut2005|cheongh2008|kawamatat2008	18287526|15659643|11309418|20489023|18077553|10995454|19337029
YGL180W (u) YPR185W	uetzp2000|yehyy2011|hec2008|kraftc2012|kabeyay2005|kijanskam2010|kamaday2000|caoy2009|nakatogawah2012|breitkreutza2010|kamaday2010|cheongh2008|kawamatat2008	18287526|18829864|21460632|20489023|22778255|18077553|10995454|19337029|19995911|21712380|10688190|22885598|15743910|20953146
YPR185W (u) YGL180W	uetzp2000|yehyy2011|hec2008|kraftc2012|kabeyay2005|kijanskam2010|kamaday2000|caoy2009|nakatogawah2012|breitkreutza2010|kamaday2010|cheongh2008|kawamatat2008	18287526|18829864|21460632|20489023|22778255|18077553|10995454|19337029|19995911|21712380|10688190|22885598|15743910|20953146
YGL181W (u) YGR167W	smaczynskaderooijii2008	18208507
YGR167W (u) YGL181W	smaczynskaderooijii2008	18208507
YGL181W (u) YGR192C	liuw2002	12135496
YGR192C (u) YGL181W	liuw2002	12135496
YGL181W (u) YGR241C	yuh2008|smaczynskaderooijii2008	18208507|18719252
YGR241C (u) YGL181W	yuh2008|smaczynskaderooijii2008	18208507|18719252
YGL181W (u) YHR016C	smaczynskaderooijii2008|tonikianr2009	19841731|18208507
YHR016C (u) YGL181W	smaczynskaderooijii2008|tonikianr2009	19841731|18208507
YGL181W (u) YIR006C	smaczynskaderooijii2008|yaguchis2007	17449140|18208507
YIR006C (u) YGL181W	smaczynskaderooijii2008|yaguchis2007	17449140|18208507
YGL181W (u) YLL003W	shenh2006	16911513
YLL003W (u) YGL181W	shenh2006	16911513
YGL181W (u) YLL024C	sanadam2011	21307595
YLL024C (u) YGL181W	sanadam2011	21307595
YGL181W (u) YLR188W	kawabatak1999	9914482
YLR188W (u) YGL181W	kawabatak1999	9914482
YGL181W (u) YMR239C	lamontagneb2007	17534422
YMR239C (u) YGL181W	lamontagneb2007	17534422
YGL181W (u) YNL243W	smaczynskaderooijii2008	18208507
YNL243W (u) YGL181W	smaczynskaderooijii2008	18208507
