sif_style	Annotation	count	etype	matchType	filenames
YBL037W (u) YBL105C		1.0	ppi		phospho_v4_bgnet_fix
YBL105C (u) YBL037W		1.0	ppi		phospho_v4_bgnet_fix
YCR030C (d) NPR71	Yes	1.0		Shared_Interaction	NaCl_module_edges
YGL092W (u) YGR218W		1.0	ppi		phospho_v4_bgnet_fix
YGR218W (u) YGL092W		1.0	ppi		phospho_v4_bgnet_fix
YER022W (u) YPR187W		1.0	ppi		phospho_v4_bgnet_fix
YPR187W (u) YER022W		1.0	ppi		phospho_v4_bgnet_fix
CX79 (d) YDR196C		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YHR058C (u) YLR223C		1.0	ppi		phospho_v4_bgnet_fix
YLR223C (u) YHR058C		1.0	ppi		phospho_v4_bgnet_fix
YPL031C (d) YDR113C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YBL016W (d) YEL032W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YDR138W (u) YNL139C		1.0	ppi		phospho_v4_bgnet_fix
YNL139C (u) YDR138W		1.0	ppi		phospho_v4_bgnet_fix
YNL307C (d) YBL011W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YJL098W (u) YNL025C		1.0	ppi		phospho_v4_bgnet_fix
YNL025C (u) YJL098W		1.0	ppi		phospho_v4_bgnet_fix
YGL237C (u) YOR358W		1.0	ppi		phospho_v4_bgnet_fix
YOR358W (u) YGL237C		1.0	ppi		phospho_v4_bgnet_fix
YDR333C (u) YMR242C		1.0	ppi		phospho_v4_bgnet_fix
YMR242C (u) YDR333C		1.0	ppi		phospho_v4_bgnet_fix
YHL025W (u) YJL176C		1.0	ppi		phospho_v4_bgnet_fix
YJL176C (u) YHL025W		1.0	ppi		phospho_v4_bgnet_fix
YKL028W (u) YKR062W		1.0	ppi		phospho_v4_bgnet_fix
YKR062W (u) YKL028W		1.0	ppi		phospho_v4_bgnet_fix
PDE2RA59 (d) YIL047C		1.0		Constituent	NaCl_module_edges
YBR081C (u) YHR099W		1.0	ppi		phospho_v4_bgnet_fix
