etype=CatSet(acetylation|deacetylation|demethylation|deubiquitination|given_gasch|given_gaschphos|glycosylation|kinase_substrate|metabolic_pathway|methylation|modification|neddrub1ylation|phosphatase_substrate|phosphorylation_and_dephosphorylation|ppi|prenylation|proteolyticprocessing|sumoylation|ubiquitination)	GENEA	GENEB	dir	sign	source	pmid
kinase_substrate	YAL017W	YJL110C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YKL168C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YLR257W	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YML037C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YML073C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YMR184W	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YNR047W	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YOL125W	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YPR160W	1	0	ptacekj2005	16319894
kinase_substrate	YAR019C	YBR151W	1	0	ptacekj2005	16319894
kinase_substrate	YAR019C	YBR162C	1	0	ptacekj2005	16319894
kinase_substrate	YAR019C	YGL245W	1	0	ptacekj2005	16319894
kinase_substrate	YAR019C	YGR092W	1	0	mahas2001	11404483
kinase_substrate	YAR019C	YIL106W	1	0	mahas2001	11404483
kinase_substrate	YAR019C	YML037C	1	0	ptacekj2005	16319894
kinase_substrate	YAR019C	YOR018W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YAL034C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YBL011W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YBL023C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YBL055C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YBL057C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YBR055C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YBR083W	1	0	brueckners2004|chous2004	15620356|15558284
kinase_substrate	YBL016W	YBR259W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDL070W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDL153C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDL173W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR034CC	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR103W	1	0	kranzje1994|flothoa2004	15322134|8314085
kinase_substrate	YBL016W	YDR120C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR152W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR153C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR225W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR266C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR388W	1	0	friesenh2003	12857883
kinase_substrate	YBL016W	YDR439W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR440W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YDR480W	1	0	tedforliterature1997|ptacekj2005|breitkreutza2001	9094309|11525741|16319894
kinase_substrate	YBL016W	YEL032W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YEL050C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YEL053C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YER082C	1	0	ptacekj2005	16319894
