Protein,Total
YJL080C,21
YOR308C,21
YDL006W,21
YGR180C,21
YPR034W,21
YMR086W,21
YDR080W,21
YOR157C,21
YMR127C,21
YFR050C,20
YGR186W,20
YAL047C,20
YLL021W,20
YKL180W,20
YMR231W,20
YLR175W,20
YGL070C,20
YOR327C,20
YPR093C,20
YOR027W,20
YPL269W,20
YPR160W,20
YLR319C,20
YML016C,20
YLR192C,20
YOR332W,20
YBL103C,20
YNL078W,20
YOL145C,20
YLR044C,20
YML032C,20
YPL078C,20
YMR037C,20
YGL153W,20
YOR361C,20
YDL149W,20
YER082C,20
YDR416W,20
YGR119C,20
YCR057C,20
YDL065C,20
YGL035C,20
YDL029W,20
YER157W,20
YBL075C,20
YNL136W,20
YBR155W,20
YDR378C,20
YGL049C,20
YGR172C,20
YPR032W,20
YKL126W,20
YOR270C,20
YEL013W,20
YJR022W,20
YPL139C,20
YJL157C,20
YKL181W,20
YDL084W,20
YJR007W,20
YJR092W,20
YBR170C,20
YLR150W,20
YML088W,20
YFR027W,19
YNR067C,19
YDR168W,19
YLR300W,19
YGL241W,19
YER107C,19
YGR192C,19
YGR159C,19
YNL118C,19
YCL032W,19
YOL038W,19
YPR046W,19
YNR031C,19
YIL133C,19
YKL089W,19
YPL220W,19
YGL066W,19
YPR023C,19
YDL017W,19
YPL237W,19
YDR318W,19
YFR010W,19
YKL155C,19
YNL225C,19
YDR110W,19
YDR261C,19
YPL037C,19
YOL127W,19
YOR190W,19
YDL208W,19
SNR17B,19
SNR17A,19
YOL013C,19
YOR254C,19
YNL261W,19
YPR135W,19
YHR107C,19
YGL137W,19
YBR189W,19
YOL021C,19
YPL063W,19
YLR310C,19
YIL061C,19
YHR086W,19
YIL091C,18
YGR214W,18
YKL135C,18
YGL181W,18
YKR039W,18
YDR195W,18
YBR095C,18
YGL004C,18
YHR088W,18
YDR096W,18
YPL133C,18
YLR452C,18
YGL060W,18
YDL008W,18
YKL057C,18
YBL047C,18
YCR012W,18
YLR277C,18
YGL031C,18
YCR002C,18
YBR130C,18
YOR156C,18
YJL190C,18
YER143W,18
YER118C,18
YNL312W,18
YHL024W,18
Q0085,18
YLR191W,18
YMR291W,18
YGR120C,18
YER016W,18
YHR105W,18
YCR063W,18
YPL218W,18
YOR294W,18
YER171W,18
YDL145C,18
YNL061W,18
YDR280W,18
YHR118C,18
YER154W,18
YML007W,18
YPR041W,18
YJL019W,18
YJR090C,18
YLR078C,18
YKR016W,18
YLR102C,18
YHL030W,18
YOR189W,18
YPR018W,18
YJR045C,18
YDR359C,18
YJR121W,18
YLR430W,18
YKL052C,17
YAL026C,17
YOL090W,17
YLR223C,17
YIL150C,17
YML015C,17
YLR457C,17
YML129C,17
YNL284CA,17
YBR017C,17
YJR060W,17
YLR197W,17
YIL033C,17
YNR023W,17
YGL123W,17
YLR433C,17
YLR203C,17
YLR276C,17
YPL045W,17
YMR205C,17
YER126C,17
YMR032W,17
YJL050W,17
YKL195W,17
YML013W,17
Q0105,17
YPL217C,17
YDR118W,17
YGR253C,17
YDL134C,17
YPL232W,17
YDL003W,17
YIR037W,17
YJL072C,17
YMR314W,17
YLR025W,17
YIL135C,17
YKL067W,17
YMR005W,17
YLR423C,17
YKL129C,17
YKL194C,17
YNL110C,17
YDR012W,17
YGR184C,17
YDL185W,17
YGR033C,17
YGL134W,17
SNR30,17
YKR022C,17
YPL016W,17
YLL043W,17
YOR096W,17
YDR311W,17
YPL106C,17
YLR134W,17
YDR382W,17
YOR373W,17
YIL084C,17
YOR083W,17
YKL082C,17
YER098W,17
YIL107C,17
YGL200C,17
YNL243W,17
YDR443C,17
YNL236W,17
YEL048C,17
YMR184W,17
YDL020C,16
YLR115W,16
YGL044C,16
YPR036W,16
YNL317W,16
YDR179C,16
YLR178C,16
YBR102C,16
YJR042W,16
YOR007C,16
YDR395W,16
YBR127C,16
YLR056W,16
YGR009C,16
YNL293W,16
YMR043W,16
YGL233W,16
YGR156W,16
YGL219C,16
YHR056C,16
YGL210W,16
YCR035C,16
YOR212W,16
YGL198W,16
YKR010C,16
YMR116C,16
YPL004C,16
YKL023W,16
YLR275W,16
YHR016C,16
YER129W,16
YLR148W,16
YPL081W,16
YDR490C,16
YPR141C,16
YMR039C,16
YDR260C,16
YBR169C,16
YKR095W,16
YML064C,16
YDR073W,16
YDR460W,16
YNL232W,16
YGR195W,16
YBR253W,16
YJR082C,16
YDL209C,16
YML012W,16
YPL233W,16
YIL022W,16
YML030W,16
YLL013C,16
YGL244W,16
YDL156W,16
YOR249C,16
YCL061C,16
YEL002C,16
YPL138C,16
YPL140C,16
YBR142W,16
YNL246W,16
YDR023W,16
YGR095C,16
YKL080W,16
YHR108W,16
YLR384C,16
YAR002CA,16
YDR429C,16
YDL005C,16
YCR088W,16
YNL172W,16
YOR076C,16
YDR211W,16
YGL240W,16
YCR052W,16
YKL213C,16
YOR144C,16
YER031C,16
YCL043C,16
YER008C,16
YDR380W,15
YGR142W,15
YNL093W,15
YDL060W,15
YMR146C,15
YGL051W,15
YJL014W,15
YJL143W,15
YOR357C,15
YDR130C,15
YDR188W,15
YAR018C,15
YDR411C,15
YDR303C,15
YDR189W,15
YGR178C,15
YER032W,15
YDL111C,15
YGR112W,15
YOR065W,15
YDR052C,15
YGL011C,15
YLR257W,15
YBR245C,15
YMR273C,15
YDL191W,15
YCR030C,15
YDR159W,15
YPR055W,15
YHR102W,15
YEL022W,15
YKL012W,15
YJL148W,15
YLR259C,15
YBR267W,15
YIL156W,15
YNL097C,15
YMR196W,15
YGR285C,15
YBL064C,15
YER095W,15
YJR148W,15
YBR023C,15
YDL225W,15
YKR094C,15
YLL026W,15
YBL058W,15
YDR153C,15
YPR191W,15
YMR061W,15
YDR238C,15
YPR168W,15
YKL186C,15
YJR065C,15
YKR068C,15
YBR172C,15
YPL043W,15
YIL038C,15
YML045WA,15
YIL143C,15
YHR134W,15
YER155C,15
YAL023C,15
YJL002C,15
YNL001W,15
YJR046W,15
YER173W,15
YNR047W,15
YDR134C,15
YDR208W,15
YOL091W,15
YGR087C,15
YNL084C,15
YEL024W,15
YHL031C,15
YML008C,15
YKL108W,15
YPR175W,15
YNR018W,14
YLR403W,14
YMR224C,14
YPR183W,14
YDR057W,14
YOR198C,14
YER167W,14
YDR060W,14
YKL173W,14
YNL073W,14
YMR031C,14
YIL105C,14
YCL014W,14
YPR171W,14
YKL103C,14
YDR233C,14
YKR071C,14
YPR049C,14
YGR262C,14
YPR152C,14
YKL210W,14
YNL221C,14
YDL100C,14
YGL113W,14
YDR265W,14
Q0275,14
YDR330W,14
YFR001W,14
YOR046C,14
YDR121W,14
YPL211W,14
YDR034CC,14
YLR350W,14
YPR091C,14
YOL006C,14
YNL201C,14
YBR020W,14
YPR013C,14
YKL143W,14
YAL013W,14
YFR036W,14
YGL127C,14
YDR496C,14
YJR144W,14
YHR196W,14
YMR048W,14
YMR288W,14
YKL059C,14
YNL113W,14
YKL093W,14
YGL043W,14
YPL077C,14
YDR365C,14
YNL112W,14
YNL262W,14
YGR082W,14
YPL257WA,14
YGL103W,14
YGL012W,14
YIR025W,14
YFL037W,14
YDR027C,14
YPL242C,14
YKL161C,14
YCR073WA,14
YHR152W,14
YGR175C,14
YHR010W,14
YGR240C,14
YPR025C,14
YNL273W,14
YHR158C,14
YMR297W,14
YNR009W,14
YCR009C,14
YBR086C,14
YDR135C,14
YOL068C,14
YOR115C,14
YNL044W,14
YBR171W,14
YHR206W,14
YDR028C,14
YML098W,14
YDR075W,14
YKL062W,14
YLR207W,14
YPL127C,14
YJL090C,14
YLR003C,14
YBL055C,14
YML073C,14
YOR250C,14
YGL187C,14
YPR137CA,14
YLR100W,14
YOR177C,14
YHR083W,13
YOR304W,13
YNR046W,13
YDL095W,13
YFR051C,13
YHR193C,13
YMR078C,13
YOR191W,13
YGL073W,13
YHR069C,13
YHR104W,13
YML096W,13
YKL079W,13
YJR089W,13
YDR079CA,13
YCR105W,13
YEL051W,13
YLR005W,13
YGR249W,13
YML035C,13
YAL059W,13
YJL168C,13
YDL103C,13
YGR086C,13
YLL022C,13
YMR091C,13
YGR060W,13
YER174C,13
YPL126W,13
YJL005W,13
YJL109C,13
YDR368W,13
YOL044W,13
YCL010C,13
YNL076W,13
YDR451C,13
YLR045C,13
YDL190C,13
YIL148W,13
YIL030C,13
YOL027C,13
YDR005C,13
YGL256W,13
YOL121C,13
YOL115W,13
YJL167W,13
YPL178W,13
YDR450W,13
YLR196W,13
YJL085W,13
YBL093C,13
YJR123W,13
YML026C,13
YLR180W,13
YML048W,13
YKL152C,13
YMR304W,13
YOR335C,13
YER116C,13
YLR212C,13
YIL007C,13
YJL047C,13
YIL068C,13
YBR123C,13
YMR309C,13
YKR097W,13
YOR370C,13
YER015W,13
YNL117W,13
YLR449W,13
YPL124W,13
YDL031W,13
YAL016W,13
YLR209C,13
YLR265C,13
YHL020C,13
YLR342W,13
YPL001W,13
YLR410W,13
YNL214W,13
YOR014W,13
YLR421C,13
YEL054C,13
YCL008C,13
YER123W,13
YOR260W,13
YGR275W,13
YGL209W,13
YBR084W,13
YBR093C,13
YPL144W,12
YBL008W,12
YOR075W,12
YPL266W,12
YNL229C,12
YDL195W,12
YBL085W,12
YER111C,12
YLR330W,12
YBR055C,12
YLR409C,12
YKR009C,12
YLR315W,12
YPR105C,12
YKL138CA,12
YGL086W,12
YDL223C,12
YHR121W,12
YOL070C,12
YFR031C,12
YJR160C,12
YIL046W,12
YMR106C,12
YKL197C,12
YJR041C,12
YGL061C,12
YAR014C,12
YMR227C,12
YHR117W,12
YER179W,12
YPR173C,12
YER013W,12
YNL069C,12
YJL104W,12
YOL061W,12
YLR015W,12
YLR008C,12
YOL072W,12
YLR450W,12
YFL008W,12
YPL094C,12
YER162C,12
YDL113C,12
YJR110W,12
YLR147C,12
YJR050W,12
YDR088C,12
YPL194W,12
YIR003W,12
YGR038W,12
YMR201C,12
YBR119W,12
YLR429W,12
YDR169C,12
YDL053C,12
YDL232W,12
YDR164C,12
YMR183C,12
YHR081W,12
YKR031C,12
YBR107C,12
YER018C,12
YNR035C,12
YGL022W,12
YDR229W,12
YEL056W,12
YKL198C,12
YDL247W,12
YKR054C,12
YDR206W,12
YMR138W,12
YJR068W,12
YBR262C,12
YFL036W,12
YNL074C,12
YKL217W,12
YOL147C,12
YNL280C,12
YLL028W,12
YOR239W,12
CYC86,12
YPL122C,12
YJR032W,12
YDR162C,12
YDL080C,12
YOR054C,12
YIL112W,12
YOR038C,12
YKR021W,12
YBR188C,12
YOR057W,12
YMR028W,12
YBL099W,12
YJR001W,12
YDR264C,12
YKL064W,12
YGL223C,12
YAR003W,12
YGL071W,12
YMR263W,12
YIL159W,12
YBR257W,12
YJR132W,12
YER161C,12
YOR028C,12
YOR080W,12
YJR125C,12
YMR235C,12
YGL001C,12
YFL048C,12
YHR187W,12
YDR362C,12
YFL013C,12
YBR156C,12
YGL016W,12
YDL043C,12
YGL195W,12
YER044C,12
YDR312W,11
YDR299W,11
YNL145W,11
YHR007C,11
YDR059C,11
YKR008W,11
YMR168C,11
YDL227C,11
YMR104C,11
YFL011W,11
YPL167C,11
YJR005W,11
YGR158C,11
YJL154C,11
YPL201C,11
YGR021W,11
YNR033W,11
YMR167W,11
YGR258C,11
YML071C,11
YPR040W,11
YPL008W,11
YGR166W,11
YKL016C,11
YLR131C,11
YHR034C,11
YML114C,11
YKL211C,11
YMR268C,11
YDR379W,11
YMR068W,11
YNL166C,11
YGL098W,11
YHR039CA,11
YAL029C,11
YNL267W,11
YOL083W,11
YOR132W,11
YBR164C,11
YDR201W,11
YHR207C,11
YML034W,11
YLR133W,11
YDR217C,11
YJL210W,11
YDR016C,11
YPR110C,11
YOR109W,11
YGR094W,11
YER020W,11
YDR398W,11
YEL015W,11
YOR269W,11
YOL026C,11
YNL106C,11
YLR291C,11
YDL230W,11
YGL075C,11
YDR212W,11
YKR092C,11
YMR240C,11
YDR240C,11
YBR083W,11
YML063W,11
YBR167C,11
YOL111C,11
YGL178W,11
YDL188C,11
YGR116W,11
YNL135C,11
YLR394W,11
YGR063C,11
YJR053W,11
YFL029C,11
YEL018W,11
YPL151C,11
YJL001W,11
YJL138C,11
YKR037C,11
YLR439W,11
YNL304W,11
YDR228C,11
YGR134W,11
YDR324C,11
YDL168W,11
YBR234C,11
YHR072W,11
YHR062C,11
YMR054W,11
YER002W,11
YDR170C,11
YEL062W,11
YMR112C,11
YBL097W,11
YDR309C,11
YER136W,11
YOL078W,11
YOR145C,11
YMR125W,11
YKL146W,11
YGL205W,11
YKL160W,11
YOL108C,11
YGR078C,11
YPL195W,11
YBR028C,11
YDR480W,11
YML019W,11
YAL035W,11
YFL049W,11
YIL142W,11
YGL151W,11
YPR029C,11
YCR066W,11
YNL075W,11
YOR085W,11
YGL194C,11
YOR116C,11
YBR254C,11
YOL146W,11
YBL032W,11
YCL054W,11
YDR383C,11
YHR023W,11
YPR028W,11
YER040W,11
YML006C,10
YJL204C,10
YNL152W,10
YNL054WA,10
YBR273C,10
YOL034W,10
YLR447C,10
YNL103W,10
YKL006W,10
YOL001W,10
YKL204W,10
YIL026C,10
YKL035W,10
YDR150W,10
YBL071WA,10
YNR019W,10
YDR407C,10
YNL104C,10
YPL190C,10
YNL258C,10
YGR129W,10
YDL056W,10
YML102W,10
YER064C,10
YML057W,10
YPL086C,10
YPR162C,10
YFL002C,10
YOR160W,10
YIL002C,10
YOR048C,10
YER127W,10
YLL002W,10
YBL061C,10
YLR019W,10
YCR059C,10
YGR077C,10
YMR149W,10
YDL040C,10
YGR074W,10
YJR138W,10
YFR015C,10
YGL234W,10
YJL089W,10
YLR440C,10
YOR078W,10
YML077W,10
YMR093W,10
YKR029C,10
YOL054W,10
YPR164W,10
YAL033W,10
YML109W,10
YIL045W,10
YHR074W,10
YOL094C,10
YAL002W,10
YML029W,10
YLR033W,10
YMR077C,10
YDR166C,10
YNL068C,10
YMR213W,10
YML083C,10
YHR190W,10
YPR129W,10
YAL010C,10
YHR174W,10
YKL013C,10
YHR157W,10
YKL212W,10
YDL074C,10
YOR374W,10
YMR218C,10
YMR094W,10
YOL125W,10
YKL006CA,10
YJR019C,10
YJL051W,10
YDR440W,10
YDR155C,10
YHR156C,10
YIL155C,10
YNL052W,10
SNR4,10
YDL117W,10
YCR079W,10
YDL106C,10
YJL029C,10
YOR018W,10
YNL079C,10
YPL049C,10
YKR083C,10
YPL214C,10
YGR010W,10
YOR124C,10
YCR016W,10
YLR167W,10
YJL066C,10
YKL058W,10
YDR128W,10
YLR060W,10
YOL025W,10
YNL053W,10
YKR079C,10
YER054C,10
YMR260C,10
YBR145W,10
YLR263W,10
YHR013C,10
YNL290W,10
YHR214CC,10
YML049C,10
YLR067C,10
YGL252C,10
YNL098C,10
YOR094W,10
YNL016W,10
YJL026W,10
YMR083W,10
YGR287C,10
YDR495C,10
YMR131C,10
YJL166W,10
YGR020C,10
YEL036C,10
YDR001C,10
YDL079C,10
YLR328W,10
YCR042C,10
YOR185C,10
YAL001C,10
YGL106W,10
YBR087W,10
YLR006C,10
YEL029C,10
YPL020C,10
YDR449C,10
YBR175W,10
YLR370C,10
YNL245C,10
YGR038CA,10
YDR472W,10
YMR318C,10
YBR201W,10
YBR039W,10
YGL135W,10
YBL041W,10
YDL143W,10
YKL125W,10
YKL038W,10
YGR223C,10
YDL150W,10
YML127W,10
YDR310C,10
YHR164C,10
YAL040C,10
YKR059W,10
YAL024C,10
YHR087W,10
YOR176W,10
YMR120C,10
YER029C,10
YDL184C,10
YBL104C,10
YMR102C,10
YGR030C,10
