systematic_name_dash_removed,systematic_name
YGR262C,YGR262C
YJR092W,YJR092W
YCR038C,YCR038C
YLR319C,YLR319C
YOR299W,YOR299W
YLR353W,YLR353W
YGR041W,YGR041W
YDL099W,YDL099W
YMR275C,YMR275C
YML111W,YML111W
YLR226W,YLR226W
YER159C,YER159C
YNL305C,YNL305C
YKL005C,YKL005C
YHR114W,YHR114W
YDR531W,YDR531W
YIL083C,YIL083C
YKL088W,YKL088W
YGR277C,YGR277C
YDR196C,YDR196C
YML102W,YML102W
YDR423C,YDR423C
YNL278W,YNL278W
YGR134W,YGR134W
YFL028C,YFL028C
YOR276W,YOR276W
YKR036C,YKR036C
YNL288W,YNL288W
YER048C,YER048C
YFL029C,YFL029C
YPL048W,YPL048W
YEL063C,YEL063C
YKL007W,YKL007W
YIL034C,YIL034C
YPL111W,YPL111W
YLR438W,YLR438W
YML042W,YML042W
YOR125C,YOR125C
YMR280C,YMR280C
YGR036C,YGR036C
YPL178W,YPL178W
YJR060W,YJR060W
YGR140W,YGR140W
YLR175W,YLR175W
YNL161W,YNL161W
YJL209W,YJL209W
YHL038C,YHL038C
YPL215W,YPL215W
YGR174C,YGR174C
YBR120C,YBR120C
YIL043C,YIL043C
YDL069C,YDL069C
YDR197W,YDR197W
YKL208W,YKL208W
YER168C,YER168C
YLR220W,YLR220W
YDR270W,YDR270W
YKL011C,YKL011C
YGR217W,YGR217W
YPR025C,YPR025C
YGR150C,YGR150C
YKR066C,YKR066C
YAL021C,YAL021C
YMR038C,YMR038C
YIL142W,YIL142W
YJL014W,YJL014W
YDL143W,YDL143W
YJR064W,YJR064W
YDR188W,YDR188W
YJL111W,YJL111W
YJL008C,YJL008C
YLR110C,YLR110C
YLR390WA,YLR390W-A
YBR131W,YBR131W
YLR307W,YLR307W
YLR308W,YLR308W
YCR002C,YCR002C
YDR182W,YDR182W
YJR076C,YJR076C
YHR107C,YHR107C
YLR215C,YLR215C
YDL220C,YDL220C
YFR028C,YFR028C
YAR019C,YAR019C
YKL022C,YKL022C
YAL038W,YAL038W
YGL116W,YGL116W
YOR074C,YOR074C
YHR166C,YHR166C
YAL041W,YAL041W
YLR310C,YLR310C
YFR036W,YFR036W
YBL084C,YBL084C
YBR160W,YBR160W
YLR314C,YLR314C
YOR257W,YOR257W
YOL139C,YOL139C
YDR054C,YDR054C
YDL165W,YDL165W
YDR168W,YDR168W
YCR093W,YCR093W
YDR364C,YDR364C
YFL009W,YFL009W
YLR229C,YLR229C
YGL155W,YGL155W
YLR103C,YLR103C
YDL126C,YDL126C
YCR094W,YCR094W
YMR001C,YMR001C
YDL132W,YDL132W
YGL190C,YGL190C
YJL194W,YJL194W
YPL160W,YPL160W
YDL017W,YDL017W
YLR418C,YLR418C
YJR057W,YJR057W
YDL164C,YDL164C
YLR245C,YLR245C
YGL003C,YGL003C
YBR029C,YBR029C
YMR213W,YMR213W
YGL130W,YGL130W
YER061C,YER061C
YMR168C,YMR168C
YPL228W,YPL228W
