Protein1,Protein2,Interaction,Directed
YBR140C,YNL098C,given_gasch,1
YCL032W,YJL128C,given_gasch,1
YCL032W,YLR006C,given_gasch,1
YCL032W,YNR031C,given_gasch,1
YDR099W,YKL062W,given_gasch,1
YDR099W,YMR037C,given_gasch,1
YEL062W,YHL023C,given_gasch,0
YEL062W,YJR066W,given_gasch,1
YER177W,YKL062W,given_gasch,1
YER177W,YMR037C,given_gasch,1
YFR028C,YJR066W,given_gasch,0
YFR028C,YKL203C,given_gasch,0
YHL023C,YJR066W,given_gasch,1
YHR005C,YJL005W,given_gasch,0
YHR005C,YJL005W,given_gasch,0
YJL128C,YLR113W,given_gasch,1
YJL164C,YMR037C,given_gasch,1
YLR310C,YNL098C,given_gasch,0
YLR362W,YJL128C,given_gasch,1
YNR031C,YJL128C,given_gasch,1
YOR360C,YJL164C,given_gasch,1
YOR360C,YKL166C,given_gasch,1
YOR360C,YPL203W,given_gasch,1
YOR371C,YBR140C,given_gasch,0
YOR371C,YOL081W,given_gasch,0
Q0160,YBL075C,kinase_substrate,1
YAL017W,YAR019C,kinase_substrate,1
YAL017W,YCL043C,kinase_substrate,1
YAL017W,YDL153C,kinase_substrate,1
YAL017W,YDR134C,kinase_substrate,1
YAL017W,YDR259C,kinase_substrate,1
YAL017W,YDR293C,kinase_substrate,1
YAL017W,YDR454C,kinase_substrate,1
YAL017W,YGL245W,kinase_substrate,1
YAL017W,YHL024W,kinase_substrate,1
YAL017W,YJL110C,kinase_substrate,1
YAL017W,YKL168C,kinase_substrate,1
YAL017W,YLR257W,kinase_substrate,1
YAL017W,YML037C,kinase_substrate,1
YAL017W,YML073C,kinase_substrate,1
YAL017W,YMR184W,kinase_substrate,1
YAL017W,YNR047W,kinase_substrate,1
YAL017W,YOL125W,kinase_substrate,1
YAL017W,YPR160W,kinase_substrate,1
YAR019C,YBR151W,kinase_substrate,1
YAR019C,YBR162C,kinase_substrate,1
YAR019C,YGL245W,kinase_substrate,1
YAR019C,YGR092W,kinase_substrate,1
YAR019C,YIL106W,kinase_substrate,1
YAR019C,YML037C,kinase_substrate,1
YAR019C,YOR018W,kinase_substrate,1
