#Node1	Node2
YBR160W	YDR227W
YBR160W	YDR239C
YBR160W	YDR285W
YBR160W	YDR293C
YBR160W	YDR309C
YBR160W	YDR330W
YBR160W	YDR348C
YBR160W	YDR356W
YBR160W	YDR379W
YBR160W	YDR389W
YBR160W	YDR439W
YBR160W	YDR451C
YBR160W	YDR501W
YBR160W	YDR507C
YBR160W	YEL032W
YBR160W	YEL061C
YBR160W	YEL065W
YBR160W	YER008C
YBR160W	YER032W
YBR160W	YER041W
YBR160W	YER098W
YBR160W	YER111C
YBR160W	YER129W
YBR160W	YER158C
YBR160W	YER167W
YBR160W	YFL029C
YBR160W	YFR027W
YBR160W	YFR046C
YBR160W	YGL003C
YBR160W	YGL075C
YBR160W	YGL090W
YBR160W	YGL096W
YBR160W	YGL097W
YBR160W	YGL113W
YBR160W	YGL116W
YBR160W	YGL124C
YBR160W	YGL175C
YBR160W	YGL216W
YBR160W	YGL235W
YBR160W	YGR014W
YBR160W	YGR035C
YBR160W	YGR092W
YBR160W	YGR186W
YBR160W	YGR188C
YBR160W	YGR221C
YBR160W	YGR238C
YBR160W	YGR270W
YBR160W	YGR276C
YBR160W	YGR296W
YBR160W	YHL007C
YBR160W	YHL022C
YBR160W	YHL035C
YBR160W	YHL050C
YBR160W	YHR098C
YBR160W	YHR118C
YBR160W	YHR149C
YBR160W	YHR158C
YBR160W	YHR159W
YBR160W	YHR164C
YBR160W	YHR166C
YBR160W	YHR200W
YBR160W	YHR216W
YBR160W	YIL031W
YBR160W	YIL050W
YBR160W	YIL101C
YBR160W	YIL106W
YBR160W	YIL112W
YBR160W	YIL122W
YBR160W	YIL135C
YBR160W	YIL140W
YBR160W	YIL149C
YBR160W	YIR023W
YBR160W	YJL051W
YBR160W	YJL060W
YBR160W	YJL076W
YBR160W	YJL084C
YBR160W	YJL092W
YBR160W	YJL111W
YBR160W	YJL115W
YBR160W	YJL157C
YBR160W	YJL194W
YBR160W	YJR021C
YBR160W	YJR033C
YBR160W	YJR054W
YBR160W	YJR059W
YBR160W	YJR083C
YBR160W	YJR091C
YBR160W	YJR092W
YBR160W	YJR141W
YBR160W	YKL022C
YBR160W	YKL042W
YBR160W	YKL043W
YBR160W	YKL048C
YBR160W	YKL052C
YBR160W	YKL108W
YBR160W	YKL116C
YBR160W	YKL129C
YBR160W	YKL168C
YBR160W	YKL185W
YBR160W	YKR078W
YBR160W	YKR089C
YBR160W	YKR090W
YBR160W	YKR091W
YBR160W	YKR095W
YBR160W	YKR097W
YBR160W	YLL002W
YBR160W	YLL003W
YBR160W	YLL008W
YBR160W	YLL021W
YBR160W	YLR006C
YBR160W	YLR009W
YBR160W	YLR035CA
YBR160W	YLR045C
YBR160W	YLR079W
YBR160W	YLR086W
YBR160W	YLR096W
YBR160W	YLR102C
YBR160W	YLR131C
YBR160W	YLR182W
YBR160W	YLR183C
YBR160W	YLR187W
YBR160W	YLR190W
YBR160W	YLR219W
YBR160W	YLR223C
YBR160W	YLR238W
YBR160W	YLR278C
YBR160W	YLR303W
YBR160W	YLR307W
YBR160W	YLR314C
YBR160W	YLR319C
YBR160W	YLR394W
YBR160W	YLR401C
YBR160W	YLR425W
YBR160W	YLR430W
YBR160W	YLR455W
YBR160W	YLR457C
YBR160W	YML027W
YBR160W	YML034W
YBR160W	YML065W
YBR160W	YML083C
YBR160W	YML091C
YBR160W	YML119W
YBR160W	YMR001C
YBR160W	YMR005W
YBR160W	YMR032W
YBR160W	YMR036C
YBR160W	YMR129W
YBR160W	YMR155W
YBR160W	YMR165C
YBR160W	YMR190C
YBR160W	YMR241W
YBR160W	YMR273C
YBR160W	YMR291W
YBR160W	YNL042W
YBR160W	YNL058C
YBR160W	YNL068C
YBR160W	YNL102W
YBR160W	YNL152W
YBR160W	YNL186W
YBR160W	YNL233W
YBR160W	YNL257C
YBR160W	YNL271C
YBR160W	YNL272C
YBR160W	YNL278W
YBR160W	YNL284CA
YBR160W	YNL309W
YBR160W	YNL321W
YBR160W	YNL339C
YBR160W	YNR047W
YBR160W	YOL036W
YBR160W	YOL058W
YBR160W	YOL070C
YBR160W	YOL092W
YBR160W	YOL100W
YBR160W	YOL125W
YBR160W	YOR001W
YBR160W	YOR014W
YBR160W	YOR037W
YBR160W	YOR045W
YBR160W	YOR058C
YBR160W	YOR066W
YBR160W	YOR075W
YBR160W	YOR081C
YBR160W	YOR083W
YBR160W	YOR104W
YBR160W	YOR127W
YBR160W	YOR177C
