#item	conf(x) (out of 1000 total sols)
edge21838	0.947000
edge18665	0.858000
edge18666	0.801000
edge9488	0.944000
edge27416	0.907000
edge19149	0.001000
edge8396	0.825000
edge21089	0.102000
edge26752	0.942000
edge3002	0.902000
edge18483	0.946000
edge26610	0.821000
edge1519	0.945000
edge15091	0.894000
edge14623	0.915000
edge7074	0.956000
edge4676	0.646000
edge20471	0.909000
edge21771	0.694000
edge8909	0.900000
edge2770	0.050000
edge1193	0.904000
edge1190	0.913000
edge1191	0.954000
edge15712	0.003000
edge25814	0.001000
edge26366	0.897000
edge18764	0.898000
edge3835	0.953000
edge23261	0.955000
edge17727	0.916000
edge3487	0.949000
edge3953	0.951000
edge20906	0.950000
edge21304	0.959000
edge8525	0.961000
edge16050	0.906000
edge13572	0.902000
edge5415	0.959000
edge24314	0.895000
edge13772	0.003000
edge17999	0.911000
edge16700	0.908000
edge3317	0.955000
edge11156	0.952000
edge7676	0.893000
edge1996	0.909000
edge17269	0.002000
edge14433	0.910000
edge9022	0.906000
edge24823	0.815000
edge21832	0.902000
edge7362	0.814000
edge6776	0.905000
edge6775	0.952000
edge26688	0.947000
edge11764	0.954000
edge21683	0.924000
edge11604	0.956000
edge27034	0.001000
edge8001	0.902000
edge7987	0.949000
edge13692	0.960000
edge12357	0.650000
edge6106	0.898000
edge27291	0.817000
edge14813	0.829000
edge14811	1.000000
edge25134	0.061000
edge17823	0.912000
edge16027	0.957000
edge13058	0.951000
edge23600	0.880000
edge4527	0.955000
edge15147	0.941000
edge6375	0.001000
edge26430	0.822000
edge19159	0.948000
edge506	0.941000
edge14882	0.866000
edge11342	0.899000
edge500	0.913000
edge10647	0.949000
edge6075	0.950000
edge25146	0.951000
edge26182	0.959000
edge1776	0.958000
edge7216	0.027000
edge9515	0.908000
edge2379	0.947000
edge11466	0.954000
edge114	0.858000
edge21568	0.915000
edge6191	0.818000
edge22942	0.960000
edge11469	0.035000
edge7358	0.953000
edge11302	0.018000
edge20087	0.956000
edge16336	0.911000
edge24726	0.942000
edge15293	0.018000
edge6290	0.963000
edge7821	0.888000
edge24976	0.951000
edge22460	0.954000
edge3702	0.907000
edge10411	0.904000
edge22576	0.688000
edge7138	0.828000
edge24267	0.940000
edge4980	0.813000
edge15881	0.862000
edge11771	0.912000
edge3190	0.037000
edge3683	0.575000
edge25856	0.952000
edge12640	0.959000
edge17458	0.952000
edge21111	0.005000
edge15615	0.781000
edge10147	0.899000
edge21412	0.002000
edge11412	0.946000
edge15594	0.911000
edge24260	0.102000
