#pid	conf	gene_ids	eids	pathfinders	sif_edges
p692	0.904000	YLR113W|YHR205W|NPR73|YHR082C|HOG1ID29	edge20906|edge14169|edge10794|edge11764	paths	YLR113W u YHR205W|YHR205W d NPR73|NPR73 d YHR082C|YHR082C d HOG1ID29
p693	0.911000	YOR360C|YJL164C|CDC14RD20|YKL101W|PDE2RA52	edge26934|edge24413|edge21734|edge10320	paths	YOR360C d YJL164C|YJL164C d CDC14RD20|CDC14RD20 d YKL101W|YKL101W d PDE2RA52
p694	0.899000	YFR028C|HOG1RD33|YJL128C|YJR059W|CDC14RD19	edge9388|edge13012|edge16569|edge15351	paths	YFR028C d HOG1RD33|HOG1RD33 d YJL128C|YJL128C d YJR059W|YJR059W d CDC14RD19
p695	0.904000	YLR113W|PDE2RA52|YBL103C|YFR021W|HOG1ID27	edge26596|edge25121|edge4500|edge11259	paths	YLR113W d PDE2RA52|PDE2RA52 d YBL103C|YBL103C u YFR021W|YFR021W d HOG1ID27
p696	0.918000	YFR028C|HOG1RD33|YLR096W|YPR032W|CDC14RD20	edge9388|edge7059|edge10681|edge1128	paths	YFR028C d HOG1RD33|HOG1RD33 d YLR096W|YLR096W u YPR032W|YPR032W d CDC14RD20
p697	0.000000	YFR028C|YLR019W|YOR061W|CDC14RD20	edge20769|edge18154|edge19864	paths	YFR028C u YLR019W|YLR019W u YOR061W|YOR061W d CDC14RD20
p698	0.899000	YFR028C|YLR096W|YHR030C|CDC14RD20	edge9729|edge12023|edge25993	paths	YFR028C u YLR096W|YLR096W u YHR030C|YHR030C d CDC14RD20
p699	0.899000	YFR028C|HOG1RD33|YLR096W|YHR030C|CDC14RD19	edge9388|edge7059|edge12023|edge15221	paths	YFR028C d HOG1RD33|HOG1RD33 d YLR096W|YLR096W u YHR030C|YHR030C d CDC14RD19
p700	0.809000	YFR028C|YGR097W|YLR096W|CDC14RD21	edge17061|edge16245|edge4527	paths	YFR028C u YGR097W|YGR097W u YLR096W|YLR096W d CDC14RD21
p701	0.897000	YLR113W|NPR66|YNL243W|PDE2RA58|YBL007C|HOG1ID32	edge22071|edge8877|edge9106|edge21238|edge956	paths	YLR113W d NPR66|NPR66 d YNL243W|YNL243W d PDE2RA58|PDE2RA58 d YBL007C|YBL007C d HOG1ID32
