A	interaction	B
Induced_.....sP....._pde2_Induced_Defective	pp	YLR229C
Repressed_R.R..s......_pde2_Repressed_Amplified	pp	YPR171W
YHR030C	pp	YLR096W
YPL242C	pp	YPR171W
Repressed_..RK.s......_pde2_Repressed_Amplified	pp	YPL153C
YGL197W	pp	YLR377C
YDL203C	pp	YLR371W
YDR229W	pp	YJL187C
YJL164C	pp	YLR345W
YDR096W	pp	YMR219W
YFR028C	pp	YJL187C
YJL005W	pp	YMR186W
YKL161C	pp	YPL049C
YKL042W	pp	YNL084C
Induced_..K..s......_cdc14_Induced_Amplified	pp	YIR003W
Repressed_..R..s......_pde2_Repressed_Amplified	pp	YPL153C
YIL021W	pp	YJL164C
Repressed_R.R..s......_pde2_Repressed_Amplified	pp	YGR241C
YML064C	pp	YMR055C
YGL207W	pp	YOR061W
Induced_..K..s......_hog1_Induced_Defective	pp	YER118C
YER025W	pp	YGR052W
YDR211W	pp	YGR052W
YHL007C	pp	YPL256C
YLR229C	pp	YOR127W
YNL154C	pp	YOL139C
YDR309C	pp	YHR107C
YFR028C	pp	YHR061C
YIL006W	pp	YOR360C
YFR014C	pp	YHR087W
Repressed_..R..s......_cdc14_Repressed_Defective	pp	YFR014C
YJL187C	pp	YLR215C
Induced_..R..s......_hog1_Induced_Defective	pp	YPR181C
YBR160W	pp	YLR210W
YDR388W	pp	YJL085W
Induced_..K..s......_hog1_Induced_Defective	pp	YLR248W
Induced_.....sP....._hog1_Induced_Defective	pp	YJR059W
YLR109W	pp	YNL079C
YDL159W	pp	YPL201C
YFR029W	pp	YNL154C
YER133W	pp	YJL187C
Repressed_..RS.s......_hog1_Repressed_Defective	pp	YLR229C
YER118C	pp	YLR113W
Repressed_...R.s......_pde2_Repressed_Amplified	pp	YLR229C
YDL149W	pp	YNL242W
YCR088W	pp	YGL206C
YHL009C	pp	YNL154C
YGR063C	pp	YML010W
Induced_..R..s......_hog1_Induced_Amplified	pp	YNL251C
YFR028C	pp	YPR042C
YJL124C	pp	YOL139C
YBR109C	pp	YKL042W
YBR160W	pp	YJL187C
YDR388W	pp	YPR088C
YKL161C	pp	YLR096W
YHR031C	pp	YKL054C
YDR480W	pp	YKL161C
YDL159W	pp	YFR028C
YGR052W	pp	YLL013C
YAL024C	pp	YFR028C
YGR162W	pp	YPR129W
YBR109C	pp	YPL242C
YDR028C	pp	YHR005C
YJL128C	pp	YPL153C
YHL007C	pp	YKL129C
YBR109C	pp	YOR061W
Repressed_..RK.s......_cdc14_Repressed_Defective	pp	YNL154C
YDL161W	pp	YOR127W
YAL035W	pp	YMR260C
YNL084C	pp	YPL153C
YDL060W	pp	YGR162W
YCR002C	pp	YDR085C
YDR309C	pp	YJL164C
YHR135C	pp	YLL039C
YHR005C	pp	YJL005W
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YBL064C
YIR003W	pp	YJL020C
Repressed_.....sP....._hog1_Repressed_Defective	pp	YFR028C
Repressed_..R..s......_cdc14_Repressed_Defective	pp	YHL007C
YDR170C	pp	YNL267W
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YGL210W
YER151C	pp	YKL054C
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YML029W
YDL115C	pp	YMR291W
Repressed_..RK.s......_pde2_Repressed_Amplified	pp	YLR377C
YNL154C	pp	YOR208W
YDL140C	pp	YDR432W
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YKL161C
YGL206C	pp	YLR206W
YHR061C	pp	YLR229C
YHR135C	pp	YOR119C
YMR125W	pp	YPL178W
Repressed_R.R..s......_pde2_Repressed_Amplified	pp	YIR006C
YBL007C	pp	YNL243W
YFL026W	pp	YHR005C
YDR264C	pp	YPL242C
YCR088W	pp	YJR065C
YBR279W	pp	YLR113W
YJL157C	pp	YJR086W
YLR386W	pp	YPL256C
Induced_.....s..S..._cdc14_Induced_Defective	pp	YJL187C
Repressed_..RS.s......_hog1_Repressed_Defective	pp	YBR200W
YDL161W	pp	YGL206C
YOR204W	pp	YPR119W
YGR162W	pp	YPR041W
YBL064C	pp	YBR122C
YAL023C	pp	YCL043C
YDL115C	pp	YJL187C
YJL005W	pp	YNL138W
YDL117W	pp	YJR059W
