A	interaction	B
YAR014C	pp	Repressed_..R..s......_No_Phenotype_Exists
YBL007C	pp	Repressed_..R..s......_No_Phenotype_Exists
YER118C	pp	Repressed_..R..s......_No_Phenotype_Exists
YIR006C	pp	Repressed_..R..s......_No_Phenotype_Exists
YKL129C	pp	Repressed_..R..s......_No_Phenotype_Exists
YLR229C	pp	Repressed_..R..s......_No_Phenotype_Exists
YNL020C	pp	Repressed_..R..s......_No_Phenotype_Exists
YNL161W	pp	Repressed_..R..s......_No_Phenotype_Exists
YPL203W	pp	Repressed_..R..s......_No_Phenotype_Exists
YBL007C	pp	Repressed_..R..t......_No_Phenotype_Exists
YIR006C	pp	Repressed_..R..t......_No_Phenotype_Exists
YNL243W	pp	Repressed_..R..t......_No_Phenotype_Exists
YAL041W	pp	Repressed_..RK.s......_No_Phenotype_Exists
YDR162C	pp	Repressed_..RK.s......_No_Phenotype_Exists
YGL180W	pp	Repressed_..RK.s......_No_Phenotype_Exists
YHL007C	pp	Repressed_..RK.s......_No_Phenotype_Exists
YHR135C	pp	Repressed_..RK.s......_No_Phenotype_Exists
YJL164C	pp	Repressed_..RK.s......_No_Phenotype_Exists
YJR059W	pp	Repressed_..RK.s......_No_Phenotype_Exists
YLR229C	pp	Repressed_..RK.s......_No_Phenotype_Exists
YNL154C	pp	Repressed_..RK.s......_No_Phenotype_Exists
YPL153C	pp	Repressed_..RK.s......_No_Phenotype_Exists
YPL203W	pp	Repressed_..RK.s......_No_Phenotype_Exists
YBR160W	pp	Repressed_..RR.s......_No_Phenotype_Exists
YDR096W	pp	Repressed_..RR.s......_No_Phenotype_Exists
YFR014C	pp	Repressed_..RR.s......_No_Phenotype_Exists
YJL164C	pp	Repressed_..RR.s......_No_Phenotype_Exists
YJR059W	pp	Repressed_..RR.s......_No_Phenotype_Exists
YKL166C	pp	Repressed_..RR.s......_No_Phenotype_Exists
YPL203W	pp	Repressed_..RR.s......_No_Phenotype_Exists
YBR160W	pp	Repressed_..RS.s......_No_Phenotype_Exists
YFR028C	pp	Repressed_..RS.s......_No_Phenotype_Exists
YKL129C	pp	Repressed_..RS.s......_No_Phenotype_Exists
YLR229C	pp	Repressed_..RS.s......_No_Phenotype_Exists
YPL153C	pp	Repressed_R.....s......_No_Phenotype_Exists
YBR059C	pp	Repressed_R.R..s......_No_Phenotype_Exists
YBR108W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YBR160W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YCR088W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YDL149W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YFR014C	pp	Repressed_R.R..s......_No_Phenotype_Exists
YGL180W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YGL206C	pp	Repressed_R.R..s......_No_Phenotype_Exists
YHR135C	pp	Repressed_R.R..s......_No_Phenotype_Exists
YJL005W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YJL164C	pp	Repressed_R.R..s......_No_Phenotype_Exists
YJR059W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YLR248W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YMR196W	pp	Repressed_R.R..s......_No_Phenotype_Exists
YNL154C	pp	Repressed_R.R..s......_No_Phenotype_Exists
YPL153C	pp	Repressed_R.R..s......_No_Phenotype_Exists
YPR171W	pp	Repressed_R.R..s......_No_Phenotype_Exists
