YNL078W	YOL070C
YDR454C	YIL006W
YBR160W	YKL129C
Repressed_R.....s......_cdc14_Repressed_Defective	YLR229C
YJL187C	YLR067C
Induced_.....s..S..._hog1_Induced_Defective	YLR248W
Repressed_.....tP....._pde2_Repressed_Amplified	YGL207W
YAL035W	YOR361C
Repressed_..R..s......_cdc14_Repressed_Defective	YHR135C
Repressed_..RS.s......_hog1_Repressed_Defective	YAL041W
YNL152W	YPR119W
Repressed_..RS.s......_cdc14_Repressed_Defective	YLR096W
YDR096W	YER033C
Repressed_..RK.s......_pde2_Repressed_Amplified	YJL164C
YGL137W	YOR119C
YHL007C	YIL156W
YDR490C	YJR059W
YBR109C	YFR014C
YLR386W	YNL054W
YGR130C	YPL153C
YGL180W	YPL203W
YDR211W	YJR090C
YER151C	YML010W
YGR162W	YOR361C
Repressed_.....sP....._hog1_Repressed_Defective	YPL153C
YGR130C	YJL164C
YDL161W	YPL115C
Repressed_R.....s......_cdc14_Repressed_Defective	YOR093C
YDL149W	YFR028C
YPL120W	YPL153C
YDR454C	YGR209C
YHR031C	YLR248W
YNL020C	YNL084C
YFR014C	YOR184W
YDL117W	YJL164C
YDL117W	YER118C
YDL159W	YGR287C
YDL149W	YFR021W
Induced_.....tP....._hog1_Induced_Defective	YPL242C
Repressed_..R..s......_cdc14_Repressed_Defective	YPR119W
Repressed_..RK.s......_cdc14_Repressed_Defective	YHR030C
Repressed_R.R..s......_cdc14_Repressed_Defective	YDR388W
YDL203C	YLR096W
YDR162C	YHL007C
YGL180W	YGL207W
Induced_.....tP....._hog1_Induced_Defective	YJR059W
YGR209C	YML028W
YER151C	YLR113W
YAL023C	YML029W
YJL128C	YJR059W
YFR021W	YHR135C
YCR088W	YNL138W
YHR135C	YIR003W
Induced_..S..s......_hog1_Induced_Defective	YJR065C
YIL021W	YPL203W
YOR360C	YPL203W
YBR109C	YOR039W
YBR279W	YNL251C
Induced_..K..s......_hog1_Induced_Defective	YOR109W
YFR021W	YFR029W
Induced_..S..s......_pde2_Induced_Defective	YPL153C
YLR386W	YNL325C
Repressed_..R..s......_hog1_Repressed_Defective	YBR200W
YPL049C	YPL256C
YGL210W	YMR291W
YGR241C	YNL084C
Repressed_.....sP....._hog1_Repressed_Defective	YJL128C
YHR030C	YPR088C
YDL140C	YJL164C
YDR085C	YHR107C
YFL023W	YMR260C
YLR113W	YLR248W
YGR068C	YGR080W
YJL005W	YLR310C
Repressed_..RR.s......_cdc14_Repressed_Defective	YFL023W
Induced_.....sP....._hog1_Induced_Defective	YER151C
YDR160W	YFR029W
YER008C	YJL085W
YDR480W	YNL154C
YLL039C	YNL154C
YJL187C	YLR096W
YDR085C	YPL242C
YAL041W	YPR129W
YHR028C	YKL166C
YFL023W	YHR135C
Induced_.....s..S..._cdc14_Induced_Amplified	YNL154C
YBL056W	YDR071C
YDL159W	YDR206W
YGL207W	YJL164C
